Year,UNIT_MEASURE,Регионы,Value
2010,в процентах к предыдущему году,,103.7
2011,в процентах к предыдущему году,,105.0
2011,в процентах к предыдущему году,Акмолинская,115.1
2011,в процентах к предыдущему году,Актюбинская,101.8
2011,в процентах к предыдущему году,Алматинская,102.3
2011,в процентах к предыдущему году,Атырауская,97.8
2011,в процентах к предыдущему году,Западно-Казахстанская,104.0
2011,в процентах к предыдущему году,Жымбылская,112.4
2011,в процентах к предыдущему году,Карагандинская,106.5
2011,в процентах к предыдущему году,Костанайская,116.0
2011,в процентах к предыдущему году,Кызылординская,99.0
2011,в процентах к предыдущему году,Мангистауская,89.3
2011,в процентах к предыдущему году,Южно-Казахстанская,102.0
2011,в процентах к предыдущему году,Павлодарская,110.4
2011,в процентах к предыдущему году,Северо-Казахстанская,120.9
2011,в процентах к предыдущему году,Восточно-Казахстанская,108.8
2011,в процентах к предыдущему году,г_Нур-Султан,106.4
2011,в процентах к предыдущему году,г_Алматы,106.0
2012,в процентах к предыдущему году,,102.5
2012,в процентах к предыдущему году,Акмолинская,94.6
2012,в процентах к предыдущему году,Актюбинская,104.7
2012,в процентах к предыдущему году,Алматинская,100.0
2012,в процентах к предыдущему году,Атырауская,94.7
2012,в процентах к предыдущему году,Западно-Казахстанская,105.1
2012,в процентах к предыдущему году,Жымбылская,110.0
2012,в процентах к предыдущему году,Карагандинская,100.9
2012,в процентах к предыдущему году,Костанайская,93.5
2012,в процентах к предыдущему году,Кызылординская,100.9
2012,в процентах к предыдущему году,Мангистауская,90.0
2012,в процентах к предыдущему году,Южно-Казахстанская,100.5
2012,в процентах к предыдущему году,Павлодарская,108.9
2012,в процентах к предыдущему году,Северо-Казахстанская,98.5
2012,в процентах к предыдущему году,Восточно-Казахстанская,114.6
2012,в процентах к предыдущему году,г_Нур-Султан,111.0
2012,в процентах к предыдущему году,г_Алматы,105.6
2013,в процентах к предыдущему году,,105.1
2013,в процентах к предыдущему году,Акмолинская,104.1
2013,в процентах к предыдущему году,Актюбинская,103.7
2013,в процентах к предыдущему году,Алматинская,108.1
2013,в процентах к предыдущему году,Атырауская,102.1
2013,в процентах к предыдущему году,Западно-Казахстанская,102.3
2013,в процентах к предыдущему году,Жымбылская,104.6
2013,в процентах к предыдущему году,Карагандинская,106.7
2013,в процентах к предыдущему году,Костанайская,111.9
2013,в процентах к предыдущему году,Кызылординская,101.9
2013,в процентах к предыдущему году,Мангистауская,103.7
2013,в процентах к предыдущему году,Южно-Казахстанская,101.6
2013,в процентах к предыдущему году,Павлодарская,99.4
2013,в процентах к предыдущему году,Северо-Казахстанская,108.1
2013,в процентах к предыдущему году,Восточно-Казахстанская,107.5
2013,в процентах к предыдущему году,г_Нур-Султан,106.2
2013,в процентах к предыдущему году,г_Алматы,113.3
2014,в процентах к предыдущему году,,104.6
2014,в процентах к предыдущему году,Акмолинская,103.7
2014,в процентах к предыдущему году,Актюбинская,104.8
2014,в процентах к предыдущему году,Алматинская,102.9
2014,в процентах к предыдущему году,Атырауская,99.3
2014,в процентах к предыдущему году,Западно-Казахстанская,104.8
2014,в процентах к предыдущему году,Жымбылская,104.0
2014,в процентах к предыдущему году,Карагандинская,107.3
2014,в процентах к предыдущему году,Костанайская,103.9
2014,в процентах к предыдущему году,Кызылординская,104.5
2014,в процентах к предыдущему году,Мангистауская,107.8
2014,в процентах к предыдущему году,Южно-Казахстанская,104.0
2014,в процентах к предыдущему году,Павлодарская,99.9
2014,в процентах к предыдущему году,Северо-Казахстанская,110.9
2014,в процентах к предыдущему году,Восточно-Казахстанская,102.9
2014,в процентах к предыдущему году,г_Нур-Султан,104.1
