Year,UNIT_MEASURE,Регионы,Value
2012,процент,,1.0
2013,процент,,1.58
2014,процент,,2.21
2015,процент,,1.8
2016,процент,,2.6
2017,процент,,9.0
2018,процент,,11.51
2019,процент,,14.9
2019,процент,Акмолинская,3.0
2019,процент,Актюбинская,10.0
2019,процент,Алматинская,23.3
2019,процент,Атырауская,10.4
2019,процент,Западно-Казахстанская,8.6
2019,процент,Жымбылская,8.5
2019,процент,Карагандинская,17.4
2019,процент,Костанайская,10.3
2019,процент,Кызылординская,10.8
2019,процент,Мангистауская,33.8
2019,процент,Павлодарская,15.0
2019,процент,Северо-Казахстанская,10.8
2019,процент,Туркестанская,10.1
2019,процент,Восточно-Казахстанская,3.3
2019,процент,г_Нур-Султан,15.9
2019,процент,г_Алматы,11.0
2019,процент,г_Шымкент,22.7
