Year,Регионы,Value
2011,,0.4861384507214093
2012,,0.4432929890724379
2012,Акмолинская,0.83
2012,Актюбинская,2.63
2012,Алматинская,0.17
2012,Атырауская,1.92
2012,Западно-Казахстанская,3.28
2012,Жымбылская,1.0
2012,Карагандинская,4.54
2012,Костанайская,0.04
2012,Кызылординская,6.55
2012,Мангистауская,2.65
2012,Туркестанская,0.12
2012,Павлодарская,7.39
2012,Северо-Казахстанская,0.29
2012,Восточно-Казахстанская,0.96
2012,г_Нур-Султан,0.06
2012,г_Алматы,0.23
2013,,0.4610388251259936
2013,Акмолинская,0.51
2013,Актюбинская,2.31
2013,Алматинская,0.2
2013,Атырауская,1.92
2013,Западно-Казахстанская,3.31
2013,Жымбылская,0.31
2013,Карагандинская,3.77
2013,Костанайская,0.03
2013,Кызылординская,5.69
2013,Мангистауская,2.79
2013,Туркестанская,0.11
2013,Павлодарская,6.58
2013,Северо-Казахстанская,0.37
2013,Восточно-Казахстанская,0.88
2013,г_Нур-Султан,0.04
2013,г_Алматы,0.14
2014,,0.4162673684542015
2014,Акмолинская,0.67
2014,Актюбинская,3.55
2014,Алматинская,0.21
2014,Атырауская,1.53
2014,Западно-Казахстанская,5.15
2014,Жымбылская,1.0
2014,Карагандинская,3.54
2014,Костанайская,0.01
2014,Кызылординская,5.08
2014,Мангистауская,4.07
2014,Туркестанская,0.47
2014,Павлодарская,6.49
2014,Северо-Казахстанская,0.54
2014,Восточно-Казахстанская,0.82
2014,г_Нур-Султан,0.2
2014,г_Алматы,0.12
2015,,0.42
2015,Акмолинская,0.39
2015,Актюбинская,3.43
2015,Алматинская,0.13
2015,Атырауская,1.42
2015,Западно-Казахстанская,5.46
2015,Жымбылская,0.37
2015,Карагандинская,2.7
2015,Костанайская,0.05
2015,Кызылординская,5.4
2015,Мангистауская,4.14
2015,Туркестанская,0.71
2015,Павлодарская,6.22
2015,Северо-Казахстанская,0.42
2015,Восточно-Казахстанская,0.8
2015,г_Нур-Султан,0.1
2015,г_Алматы,0.12
2016,,0.42
2016,Акмолинская,0.45
2016,Актюбинская,3.41
2016,Алматинская,0.14
2016,Атырауская,1.46
2016,Западно-Казахстанская,5.68
2016,Жымбылская,0.24
2016,Карагандинская,2.69
2016,Костанайская,0.02
2016,Кызылординская,5.96
2016,Мангистауская,4.15
2016,Туркестанская,0.7
2016,Павлодарская,6.31
2016,Северо-Казахстанская,0.22
2016,Восточно-Казахстанская,0.84
2016,г_Нур-Султан,0.09
2016,г_Алматы,0.11
2017,,0.42
2017,Акмолинская,0.43
2017,Актюбинская,3.69
2017,Алматинская,0.15
2017,Атырауская,1.4
2017,Западно-Казахстанская,5.54
2017,Жымбылская,0.22
2017,Карагандинская,2.84
2017,Костанайская,0.01
2017,Кызылординская,5.96
2017,Мангистауская,4.61
2017,Туркестанская,0.68
2017,Павлодарская,6.1
2017,Северо-Казахстанская,0.3
2017,Восточно-Казахстанская,0.83
2017,г_Нур-Султан,0.1
2017,г_Алматы,0.12
2018,,0.37
2018,Акмолинская,0.3
2018,Актюбинская,2.98
2018,Алматинская,0.08
2018,Атырауская,1.13
2018,Западно-Казахстанская,6.32
2018,Жымбылская,0.39
2018,Карагандинская,2.4
2018,Костанайская,0.02
2018,Кызылординская,5.42
2018,Мангистауская,4.75
2018,Туркестанская,0.33
2018,Павлодарская,7.12
2018,Северо-Казахстанская,0.06
2018,Восточно-Казахстанская,0.79
2018,г_Нур-Султан,0.07
2018,г_Алматы,0.09
2019,,0.34
2019,Акмолинская,0.27
2019,Актюбинская,2.99
2019,Алматинская,0.08
2019,Атырауская,0.78
2019,Западно-Казахстанская,5.41
2019,Жымбылская,0.34
2019,Карагандинская,2.03
2019,Костанайская,0.01
2019,Кызылординская,6.54
2019,Мангистауская,3.64
2019,Туркестанская,0.26
2019,Павлодарская,5.26
2019,Северо-Казахстанская,0.01
2019,Восточно-Казахстанская,1.04
2019,г_Нур-Султан,0.06
2019,г_Алматы,0.11
