Year,UNIT_MEASURE,SERIES,Регионы,GeoCode,Value
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,598.3
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,581.9
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,600.2
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,Восточно-Казахстанская,,627.9
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Нур-Султан,,66.7
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Нур-Султан,,97.2
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Нур-Султан,,112.6
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Нур-Султан,,124.1
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Нур-Султан,,136.7
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Нур-Султан,,142.5
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Нур-Султан,,142.6
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Нур-Султан,,153.1
2010,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,142.4
2011,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,155.6
2012,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,168.3
2013,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,194.4
2014,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,216.8
2015,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,232.1
2016,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,252.2
2017,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,254.5
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Алматы,,255.7
2018,млн.тонн,перевезено грузов автомобильным  и городским  электрическим транспортом,г_Шымкент,,116.3
2010,тонн,перевезено грузов воздушным транспортом,,,28869.7
2011,тонн,перевезено грузов воздушным транспортом,,,31554.9
2012,тонн,перевезено грузов воздушным транспортом,,,21954.2
2013,тонн,перевезено грузов воздушным транспортом,,,23873.5
2014,тонн,перевезено грузов воздушным транспортом,,,19082.4
2015,тонн,перевезено грузов воздушным транспортом,,,17178.2
2016,тонн,перевезено грузов воздушным транспортом,,,18015.9
2017,тонн,перевезено грузов воздушным транспортом,,,22449.9
2018,тонн,перевезено грузов воздушным транспортом,,,29135.5
2012,тонн,,Западно-Казахстанская,KZ07,183.0
2013,тонн,,Западно-Казахстанская,KZ07,227.2
2014,тонн,,Западно-Казахстанская,KZ07,239.4
2015,тонн,,Западно-Казахстанская,KZ07,131.0
2018,тонн,,Западно-Казахстанская,KZ07,793.0
2010,тонн,,Карагандинская,KZ12,9.2
2011,тонн,,Карагандинская,KZ12,6.6
2010,тонн,,Южно-Казахстанская,KZ10,737.0
2011,тонн,,Южно-Казахстанская,KZ10,583.0
2012,тонн,,Южно-Казахстанская,KZ10,768.0
2010,тонн,,Восточно-Казахстанская,KZ15,32.5
2011,тонн,,Восточно-Казахстанская,KZ15,44.0
2012,тонн,,Восточно-Казахстанская,KZ15,5.8
2013,тонн,,Восточно-Казахстанская,KZ15,1062.0
2014,тонн,,Восточно-Казахстанская,KZ15,978.0
2010,тонн,,г_Алматы,KZ02,28091.0
2011,тонн,,г_Алматы,KZ02,30921.3
2012,тонн,,г_Алматы,KZ02,20997.4
2013,тонн,,г_Алматы,KZ02,22584.3
2014,тонн,,г_Алматы,KZ02,17865.0
2015,тонн,,г_Алматы,KZ02,15956.2
2016,тонн,,г_Алматы,KZ02,16810.9
2017,тонн,,г_Алматы,KZ02,20345.2
2018,тонн,,г_Алматы,KZ02,25651.2
2018,тонн,,г_Шымкент,KZ18,2691.3
2010,млн.человек,перевезено пассажиров воздушным транспортом,,,3379.2
2011,млн.человек,перевезено пассажиров воздушным транспортом,,,4131.3
2012,млн.человек,перевезено пассажиров воздушным транспортом,,,4512.0
2013,млн.человек,перевезено пассажиров воздушным транспортом,,,4985.6
2014,млн.человек,перевезено пассажиров воздушным транспортом,,,5434.6
2015,млн.человек,перевезено пассажиров воздушным транспортом,,,5922.8
2016,млн.человек,перевезено пассажиров воздушным транспортом,,,6021.7
2017,млн.человек,перевезено пассажиров воздушным транспортом,,,7363.7
2018,млн.человек,перевезено пассажиров воздушным транспортом,,,7858.5
2010,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,29.3
2011,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,27.8
2012,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,30.0
2013,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,25.5
2014,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,28.5
2015,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,25.2
2016,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,16.2
2017,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,10.6
2018,млн.человек,перевезено пассажиров воздушным транспортом,Алматинская,,7.6
2010,млн.человек,перевезено пассажиров воздушным транспортом,Атырауская,,4.7
2011,млн.человек,перевезено пассажиров воздушным транспортом,Атырауская,,0.8
2012,млн.человек,перевезено пассажиров воздушным транспортом,Атырауская,,0.4
2015,млн.человек,перевезено пассажиров воздушным транспортом,Атырауская,,4.3
2016,млн.человек,перевезено пассажиров воздушным транспортом,Атырауская,,0.1
2017,млн.человек,перевезено пассажиров воздушным транспортом,Атырауская,,0.16
2018,млн.человек,перевезено пассажиров воздушным транспортом,Атырауская,,0.01
2010,млн.человек,перевезено пассажиров воздушным транспортом,Карагандинская,,18.8
2011,млн.человек,перевезено пассажиров воздушным транспортом,Карагандинская,,12.2
2012,млн.человек,перевезено пассажиров воздушным транспортом,Карагандинская,,59.7
2013,млн.человек,перевезено пассажиров воздушным транспортом,Карагандинская,,10.0
2014,млн.человек,перевезено пассажиров воздушным транспортом,Карагандинская,,8.5
2018,млн.человек,перевезено пассажиров воздушным транспортом,Карагандинская,,8.0
2012,млн.человек,перевезено пассажиров воздушным транспортом,Западно-Казахстанская,,7.2
2013,млн.человек,перевезено пассажиров воздушным транспортом,Западно-Казахстанская,,140.1
2014,млн.человек,перевезено пассажиров воздушным транспортом,Западно-Казахстанская,,354.7
2015,млн.человек,перевезено пассажиров воздушным транспортом,Западно-Казахстанская,,332.4
2018,млн.человек,перевезено пассажиров воздушным транспортом,Западно-Казахстанская,,910.1
2011,млн.человек,перевезено пассажиров воздушным транспортом,Мангистауская,,23.8
2010,млн.человек,перевезено пассажиров воздушным транспортом,Южно-Казахстанская,,668.5
2011,млн.человек,перевезено пассажиров воздушным транспортом,Южно-Казахстанская,,900.2
2012,млн.человек,перевезено пассажиров воздушным транспортом,Южно-Казахстанская,,1095.8
2013,млн.человек,перевезено пассажиров воздушным транспортом,Южно-Казахстанская,,1109.6
2014,млн.человек,перевезено пассажиров воздушным транспортом,Южно-Казахстанская,,1254.7
2015,млн.человек,перевезено пассажиров воздушным транспортом,Южно-Казахстанская,,1224.7
2016,млн.человек,перевезено пассажиров воздушным транспортом,Южно-Казахстанская,,1288.9
2017,млн.человек,перевезено пассажиров воздушным транспортом,Южно-Казахстанская,,1931.8
2010,млн.человек,перевезено пассажиров воздушным транспортом,Павлодарская,,4.0
2011,млн.человек,перевезено пассажиров воздушным транспортом,Павлодарская,,0.8
2010,млн.человек,перевезено пассажиров воздушным транспортом,Восточно-Казахстанская,,16.1
2011,млн.человек,перевезено пассажиров воздушным транспортом,Восточно-Казахстанская,,17.2
2012,млн.человек,перевезено пассажиров воздушным транспортом,Восточно-Казахстанская,,5.1
2010,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,14.8
2011,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,24.2
2012,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,5.5
2013,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,1.3
2014,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,1.4
2015,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,5.2
2016,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,34.6
2017,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,33.2
2018,млн.человек,перевезено пассажиров воздушным транспортом,г_Нур-Султан,,31.08
2010,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,2623.1
2011,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,3124.3
2012,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,3308.3
2013,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,3699.1
2014,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,3786.8
2015,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,4324.4
2016,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,3945.5
2017,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,4467.0
2018,млн.человек,перевезено пассажиров воздушным транспортом,г_Алматы,,4694.4
2018,млн.человек,перевезено пассажиров воздушным транспортом,г_Шымкент,,2207.4
2010,млн.тонн,показатели работы трубопроводного транспорта,,,194.0
2011,млн.тонн,показатели работы трубопроводного транспорта,,,214.1
2012,млн.тонн,показатели работы трубопроводного транспорта,,,213.2
2013,млн.тонн,показатели работы трубопроводного транспорта,,,225.9
2014,млн.тонн,показатели работы трубопроводного транспорта,,,225.0
2015,млн.тонн,показатели работы трубопроводного транспорта,,,214.6
2016,млн.тонн,показатели работы трубопроводного транспорта,,,205.8
2017,млн.тонн,показатели работы трубопроводного транспорта,,,232.8
2018,млн.тонн,показатели работы трубопроводного транспорта,,,280.8
2010,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,66.3
2011,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,68.1
2012,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,68.2
2013,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,68.7
2014,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,69.0
2015,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,68.6
2016,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,70.1
2017,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,78.3
2018,млн.тонн,показатели работы трубопроводного транспорта,Атырауская,,113.9
2010,млн.тонн,показатели работы трубопроводного транспорта,Павлодарская,,20.2
2011,млн.тонн,показатели работы трубопроводного транспорта,Павлодарская,,26.3
2012,млн.тонн,показатели работы трубопроводного транспорта,Павлодарская,,25.7
2013,млн.тонн,показатели работы трубопроводного транспорта,Павлодарская,,32.5
2014,млн.тонн,показатели работы трубопроводного транспорта,Павлодарская,,35.4
2017,млн.тонн,показатели работы трубопроводного транспорта,Павлодарская,,43.5
2018,млн.тонн,показатели работы трубопроводного транспорта,Павлодарская,,43.6
2010,млн.тонн,показатели работы морского и прибрежного транспорта,,,4.7
2011,млн.тонн,показатели работы морского и прибрежного транспорта,,,4.6
2012,млн.тонн,показатели работы морского и прибрежного транспорта,,,4.0
2013,млн.тонн,показатели работы морского и прибрежного транспорта,,,4.0
2014,млн.тонн,показатели работы морского и прибрежного транспорта,,,3.6
2015,млн.тонн,показатели работы морского и прибрежного транспорта,,,2.5
2016,млн.тонн,показатели работы морского и прибрежного транспорта,,,2.6
2017,млн.тонн,показатели работы морского и прибрежного транспорта,,,2.1
2018,млн.тонн,показатели работы морского и прибрежного транспорта,,,1.8
2010,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,4.7
2011,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,4.6
2012,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,4.0
2013,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,4.0
2014,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,3.6
2015,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,2.5
2016,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,2.6
2017,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,2.1
2018,млн.тонн,показатели работы морского и прибрежного транспорта,Мангистауская,,1.8
