Year,UNIT_MEASURE,SERIES,Регионы,GeoCode,Value
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Западно-Казахстанская,,451.5
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Западно-Казахстанская,,424.6
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,570.6
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,745.8
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,802.8
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,864.6
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,882.5
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,929.5
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,957.3
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,957.3
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Жымбылская,,987.4
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Карагандинская,,1440.7
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Карагандинская,,1993.3
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Карагандинская,,2111.4
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Карагандинская,,2299.9
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Карагандинская,,2428.7
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Карагандинская,,2421.2
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Карагандинская,,2418.1
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Карагандинская,,2428.1
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1153.4
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1436.5
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1575.5
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1657.4
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1752.0
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1745.2
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1751.7
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1796.6
2018,млн.человек,Перевезено пассажиров всеми видами транспорта,Костанайская,,1805.5
2010,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,139.7
2011,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,193.2
2012,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,232.4
2013,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,251.3
2014,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,282.1
2015,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,298.1
2016,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,335.5
2017,млн.человек,Перевезено пассажиров всеми видами транспорта,Кызылординская,,367.5
