Year,UNIT_MEASURE,Регионы,Value
2015,процент,,30.0
2016,процент,,44.7
2017,процент,,55.0
2017,процент,Акмолинская,58.2
2017,процент,Актюбинская,38.2
2017,процент,Алматинская,36.0
2017,процент,Атырауская,52.3
2017,процент,Западно-Казахстанская,52.1
2017,процент,Жымбылская,53.3
2017,процент,Карагандинская,48.2
2017,процент,Костанайская,59.7
2017,процент,Кызылординская,40.3
2017,процент,Мангистауская,47.0
2017,процент,Южно-Казахстанская,64.5
2017,процент,Павлодарская,60.8
2017,процент,Северо-Казахстанская,61.0
2017,процент,Восточно-Казахстанская,56.9
2017,процент,г_Нур-Султан,88.1
2017,процент,г_Алматы,100.0
2018,процент,,60.0
2018,процент,Акмолинская,59.6
2018,процент,Актюбинская,60.2
2018,процент,Алматинская,43.3
2018,процент,Атырауская,60.6
2018,процент,Западно-Казахстанская,71.8
2018,процент,Жымбылская,62.2
2018,процент,Карагандинская,55.1
2018,процент,Костанайская,59.6
2018,процент,Кызылординская,46.4
2018,процент,Мангистауская,59.9
2018,процент,Павлодарская,60.2
2018,процент,Северо-Казахстанская,61.0
2018,процент,Туркестанская,63.4
2018,процент,Восточно-Казахстанская,58.9
2018,процент,г_Нур-Султан,88.2
2018,процент,г_Алматы,99.5
2018,процент,г_Шымкент,63.4
2019,процент,,64.92
2019,процент,Акмолинская,78.02
2019,процент,Актюбинская,70.9
2019,процент,Алматинская,51.84
2019,процент,Атырауская,60.0
2019,процент,Западно-Казахстанская,72.03
2019,процент,Жымбылская,65.84
2019,процент,Карагандинская,59.68
2019,процент,Костанайская,72.89
2019,процент,Кызылординская,69.62
2019,процент,Мангистауская,70.29
2019,процент,Павлодарская,87.43
2019,процент,Северо-Казахстанская,55.58
2019,процент,Туркестанская,43.26
2019,процент,Восточно-Казахстанская,72.22
2019,процент,г_Нур-Султан,80.46
2019,процент,г_Алматы,86.83
2019,процент,г_Шымкент,64.23
