Year,Регионы,Value
2010,,4.7
2010,Акмолинская,2.6
2010,Актюбинская,0.2
2010,Алматинская,8.5
2010,Атырауская,0.1
2010,Западно-Казахстанская,0.7
2010,Жымбылская,15.7
2010,Карагандинская,0.4
2010,Костанайская,1.2
2010,Кызылординская,15.2
2010,Мангистауская,0.7
2010,Павлодарская,2.0
2010,Северо-Казахстанская,5.6
2010,Туркестанская,13.9
2010,Восточно-Казахстанская,6.6
2011,,4.7
2011,Акмолинская,2.6
2011,Актюбинская,0.2
2011,Алматинская,8.8
2011,Атырауская,0.1
2011,Западно-Казахстанская,0.7
2011,Жымбылская,15.8
2011,Карагандинская,0.4
2011,Костанайская,1.2
2011,Кызылординская,15.3
2011,Мангистауская,0.7
2011,Павлодарская,2.1
2011,Северо-Казахстанская,5.6
2011,Туркестанская,13.9
2011,Восточно-Казахстанская,6.8
2012,,4.7
2012,Акмолинская,2.6
2012,Актюбинская,0.2
2012,Алматинская,8.8
2012,Атырауская,0.1
2012,Западно-Казахстанская,0.7
2012,Жымбылская,15.8
2012,Карагандинская,0.4
2012,Костанайская,1.2
2012,Кызылординская,15.1
2012,Мангистауская,0.7
2012,Павлодарская,2.0
2012,Северо-Казахстанская,5.6
2012,Туркестанская,14.0
2012,Восточно-Казахстанская,7.2
2013,,4.8
2013,Акмолинская,2.7
2013,Актюбинская,0.2
2013,Алматинская,8.8
2013,Атырауская,0.1
2013,Западно-Казахстанская,0.7
2013,Жымбылская,15.9
2013,Карагандинская,0.4
2013,Костанайская,1.2
2013,Кызылординская,15.1
2013,Мангистауская,0.7
2013,Павлодарская,2.1
2013,Северо-Казахстанская,5.6
2013,Туркестанская,14.0
2013,Восточно-Казахстанская,7.3
2014,,4.8
2014,Акмолинская,2.7
2014,Актюбинская,0.2
2014,Алматинская,8.8
2014,Атырауская,0.1
2014,Западно-Казахстанская,0.7
2014,Жымбылская,15.9
2014,Карагандинская,0.4
2014,Костанайская,1.2
2014,Кызылординская,15.1
2014,Мангистауская,0.7
2014,Павлодарская,2.1
2014,Северо-Казахстанская,5.6
2014,Туркестанская,14.0
2014,Восточно-Казахстанская,7.3
2015,,4.8
2015,Акмолинская,2.7
2015,Актюбинская,0.2
2015,Алматинская,8.9
2015,Атырауская,0.1
2015,Западно-Казахстанская,0.7
2015,Жымбылская,15.9
2015,Карагандинская,0.4
2015,Костанайская,1.2
2015,Кызылординская,15.1
2015,Мангистауская,0.7
2015,Павлодарская,2.1
2015,Северо-Казахстанская,5.7
2015,Туркестанская,14.0
2015,Восточно-Казахстанская,7.3
2016,,4.8
2016,Акмолинская,2.7
2016,Актюбинская,0.2
2016,Алматинская,8.9
2016,Атырауская,0.1
2016,Западно-Казахстанская,0.7
2016,Жымбылская,15.9
2016,Карагандинская,0.4
2016,Костанайская,1.2
2016,Кызылординская,15.2
2016,Мангистауская,0.7
2016,Павлодарская,2.1
2016,Северо-Казахстанская,5.7
2016,Туркестанская,14.1
2016,Восточно-Казахстанская,7.3
2017,,4.9
2017,Акмолинская,2.7
2017,Актюбинская,0.2
2017,Алматинская,9.2
2017,Атырауская,0.1
2017,Западно-Казахстанская,0.6
2017,Жымбылская,16.8
2017,Карагандинская,0.4
2017,Костанайская,1.3
2017,Кызылординская,15.3
2017,Мангистауская,0.8
2017,Павлодарская,2.1
2017,Северо-Казахстанская,5.7
2017,Туркестанская,14.2
2017,Восточно-Казахстанская,7.3
2018,,4.9
2018,Акмолинская,2.7
2018,Актюбинская,0.2
2018,Алматинская,9.3
2018,Атырауская,0.2
2018,Западно-Казахстанская,0.6
2018,Жымбылская,16.5
2018,Карагандинская,0.4
2018,Костанайская,1.3
2018,Кызылординская,15.4
2018,Мангистауская,0.8
2018,Павлодарская,2.1
2018,Северо-Казахстанская,5.7
2018,Туркестанская,14.3
2018,Восточно-Казахстанская,7.4
2019,,5.0
2019,Акмолинская,2.7
2019,Актюбинская,0.2
2019,Алматинская,10.0
2019,Атырауская,0.1
2019,Западно-Казахстанская,0.6
2019,Жымбылская,16.5
2019,Карагандинская,0.4
2019,Костанайская,1.3
2019,Кызылординская,15.6
2019,Мангистауская,0.8
2019,Павлодарская,2.2
2019,Северо-Казахстанская,5.7
2019,Туркестанская,14.4
2019,Восточно-Казахстанская,7.4
