Year,UNIT_MEASURE,SERIES,Value
2015,процент,умеренное и острое отсутствие продовольственной безопасности,7.8
2015,процент,острое отсутствие продовольственной безопасности,1.4
2016,процент,умеренное и острое отсутствие продовольственной безопасности,7.8
2016,процент,острое отсутствие продовольственной безопасности,1.4
2017,процент,умеренное и острое отсутствие продовольственной безопасности,7.8
2017,процент,острое отсутствие продовольственной безопасности,1.4
2018,процент,умеренное и острое отсутствие продовольственной безопасности,4.2
2018,процент,острое отсутствие продовольственной безопасности,1.7
2019,процент,умеренное и острое отсутствие продовольственной безопасности,5.3
2019,процент,острое отсутствие продовольственной безопасности,1.9
