Year,UNIT_MEASURE,Value
2010,процент,36.5
2011,процент,51.6
2012,процент,40.2
2013,процент,29.4
2014,процент,36.7
2015,процент,40.1
2016,процент,43.4
2017,процент,41.6
2018,процент,42.9
2019,процент,41.2
