Year,UNIT_MEASURE,SERIES,Регионы,Value
2014,мг/метр куб,"взвешенные частицы РМ-2,5",СКФМ «Боровое»,0.0648
2014,мг/метр куб,"взвешенные частицы РМ-2,5",ЩБКЗ,0.0549
2014,мг/метр куб,взвешенные частицы РМ-10,г_Нур-Султан,0.018
2014,мг/метр куб,взвешенные частицы РМ-10,г.Кокшетау,0.268
2014,мг/метр куб,взвешенные частицы РМ-10,СКФМ «Боровое»,0.0709
2014,мг/метр куб,взвешенные частицы РМ-10,ЩБКЗ,0.0585
2014,мг/метр куб,взвешенные частицы РМ-10,г.Актобе,0.039
2014,мг/метр куб,взвешенные частицы РМ-10,г_Алматы,0.012
2014,мг/метр куб,взвешенные частицы РМ-10,г.Талдыкорган,0.082
2014,мг/метр куб,взвешенные частицы РМ-10,г.Атырау,0.456
2014,мг/метр куб,взвешенные частицы РМ-10,г.Кульсары,0.0212
2014,мг/метр куб,взвешенные частицы РМ-10,г.Усть-Каменогорск,0.092
2014,мг/метр куб,взвешенные частицы РМ-10,г.Риддер,0.154
2014,мг/метр куб,взвешенные частицы РМ-10,г.Семей,0.215
2014,мг/метр куб,взвешенные частицы РМ-10,г.Зыряновск,0.013
2014,мг/метр куб,взвешенные частицы РМ-10,г.Тараз,0.047
2014,мг/метр куб,взвешенные частицы РМ-10,г.Уральск,0.027
2014,мг/метр куб,взвешенные частицы РМ-10,г.Аксай,0.016
2014,мг/метр куб,взвешенные частицы РМ-10,г.Караганда,0.023
2014,мг/метр куб,взвешенные частицы РМ-10,г.Темиртау,0.002
2014,мг/метр куб,взвешенные частицы РМ-10,г.Костанай,0.049
2014,мг/метр куб,взвешенные частицы РМ-10,г.Рудный,0.012
2014,мг/метр куб,взвешенные частицы РМ-10,г.Аркалык,0.028
2014,мг/метр куб,взвешенные частицы РМ-10,г.Житикара,0.013
2014,мг/метр куб,взвешенные частицы РМ-10,г_Лисаковск,0.011
2014,мг/метр куб,взвешенные частицы РМ-10,г.Кызылорда,0.003
2014,мг/метр куб,взвешенные частицы РМ-10,п.Акай,0.0001
2014,мг/метр куб,взвешенные частицы РМ-10,п.Торетам,0.0036
2014,мг/метр куб,взвешенные частицы РМ-10,г.Жанаозен,0.0301
2014,мг/метр куб,взвешенные частицы РМ-10,г.Павлодар,0.029
2014,мг/метр куб,взвешенные частицы РМ-10,г.Экибастуз,0.0272
2014,мг/метр куб,взвешенные частицы РМ-10,г.Аксу,0.016
2014,мг/метр куб,взвешенные частицы РМ-10,Южно-Казахстанская,0.0069
2014,мг/метр куб,взвешенные частицы РМ-10,г.Туркестан,0.058
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Степногорск,0.006
2015,мг/метр куб,"взвешенные частицы РМ-2,5",СКФМ «Боровое»,0.026
2015,мг/метр куб,"взвешенные частицы РМ-2,5",ЩБКЗ,0.074
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Актобе,0.018
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Атырау,0.014
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Семей,0.024
2015,мг/метр куб,"взвешенные частицы РМ-2,5",п.Глубокое,0.0175
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Жанатас,0.011
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Каратау,0.003
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Чу,0.023
2015,мг/метр куб,"взвешенные частицы РМ-2,5",п.Кордай,0.02
2015,мг/метр куб,"взвешенные частицы РМ-2,5",п.Березовка,0.0078
2015,мг/метр куб,"взвешенные частицы РМ-2,5",п.Январцево,0.011
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Караганда,0.06
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Балхаш,0.0338
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Жезказган,0.002
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Сарань,0.0272
2015,мг/метр куб,"взвешенные частицы РМ-2,5",п.Карабалык,0.0131
2015,мг/метр куб,"взвешенные частицы РМ-2,5",Актюбинская,0.016
2015,мг/метр куб,"взвешенные частицы РМ-2,5",п.Бейнеу,0.017
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Павлодар,0.016
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Экибастуз,0.015
2015,мг/метр куб,"взвешенные частицы РМ-2,5",Южно-Казахстанская,0.009
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г_Шымкент,0.019
2015,мг/метр куб,"взвешенные частицы РМ-2,5",г.Кентау,0.011
2015,мг/метр куб,взвешенные частицы РМ-10,г_Нур-Султан,0.056
2015,мг/метр куб,взвешенные частицы РМ-10,г.Кокшетау,0.1156
2015,мг/метр куб,взвешенные частицы РМ-10,г.Степногорск,0.0184
2015,мг/метр куб,взвешенные частицы РМ-10,СКФМ «Боровое»,0.029
2015,мг/метр куб,взвешенные частицы РМ-10,ЩБКЗ,0.076
2015,мг/метр куб,взвешенные частицы РМ-10,г.Актобе,0.049
2015,мг/метр куб,взвешенные частицы РМ-10,г_Алматы,0.06
2015,мг/метр куб,взвешенные частицы РМ-10,г.Талдыкорган,0.241
2015,мг/метр куб,взвешенные частицы РМ-10,г.Атырау,0.043
2015,мг/метр куб,взвешенные частицы РМ-10,г.Кульсары,0.033
2015,мг/метр куб,взвешенные частицы РМ-10,г.Усть-Каменогорск,0.0
2015,мг/метр куб,взвешенные частицы РМ-10,г.Риддер,0.0
2015,мг/метр куб,взвешенные частицы РМ-10,г.Семей,0.021
2015,мг/метр куб,взвешенные частицы РМ-10,п.Глубокое,0.0347
2015,мг/метр куб,взвешенные частицы РМ-10,г.Тараз,0.045
2015,мг/метр куб,взвешенные частицы РМ-10,г.Жанатас,0.034
2015,мг/метр куб,взвешенные частицы РМ-10,г.Каратау,0.005
2015,мг/метр куб,взвешенные частицы РМ-10,г.Чу,0.082
2015,мг/метр куб,взвешенные частицы РМ-10,п.Кордай,0.052
2015,мг/метр куб,взвешенные частицы РМ-10,г.Уральск,0.0626
2015,мг/метр куб,взвешенные частицы РМ-10,г.Аксай,0.035
2015,мг/метр куб,взвешенные частицы РМ-10,п.Березовка,0.0244
2015,мг/метр куб,взвешенные частицы РМ-10,п.Январцево,0.0238
2015,мг/метр куб,взвешенные частицы РМ-10,г.Караганда,0.053
2015,мг/метр куб,взвешенные частицы РМ-10,г.Балхаш,0.0357
2015,мг/метр куб,взвешенные частицы РМ-10,г.Жезказган,0.005
2015,мг/метр куб,взвешенные частицы РМ-10,г.Сарань,0.0421
2015,мг/метр куб,взвешенные частицы РМ-10,г.Темиртау,0.0
2015,мг/метр куб,взвешенные частицы РМ-10,г.Костанай,0.085
2015,мг/метр куб,взвешенные частицы РМ-10,г.Рудный,0.016
2015,мг/метр куб,взвешенные частицы РМ-10,п.Карабалык,0.0298
2015,мг/метр куб,взвешенные частицы РМ-10,г.Аркалык,0.06
2015,мг/метр куб,взвешенные частицы РМ-10,г.Житикара,0.02
2015,мг/метр куб,взвешенные частицы РМ-10,г_Лисаковск,0.007
2015,мг/метр куб,взвешенные частицы РМ-10,г.Кызылорда,0.029
2015,мг/метр куб,взвешенные частицы РМ-10,п.Акай,0.0002
2015,мг/метр куб,взвешенные частицы РМ-10,п.Торетам,0.0006
2015,мг/метр куб,взвешенные частицы РМ-10,Актюбинская,0.063
2015,мг/метр куб,взвешенные частицы РМ-10,г.Жанаозен,0.046
2015,мг/метр куб,взвешенные частицы РМ-10,п.Бейнеу,0.0807
2015,мг/метр куб,взвешенные частицы РМ-10,г.Павлодар,0.039
2015,мг/метр куб,взвешенные частицы РМ-10,г.Экибастуз,0.022
2015,мг/метр куб,взвешенные частицы РМ-10,г.Аксу,0.023
2015,мг/метр куб,взвешенные частицы РМ-10,Южно-Казахстанская,0.012
2015,мг/метр куб,взвешенные частицы РМ-10,г_Шымкент,0.057
2015,мг/метр куб,взвешенные частицы РМ-10,г.Туркестан,0.149
2015,мг/метр куб,взвешенные частицы РМ-10,г.Кентау,0.007
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Нур-Султан,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Кокшетау,0.002
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Степногорск,0.006
2016,мг/метр куб,"взвешенные частицы РМ-2,5",СКФМ «Боровое»,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",ЩБКЗ,0.03
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п.Сарыбулак,0.01
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Актобе,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г_Алматы,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Атырау,0.003
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Семей,0.035
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п.Глубокое,0.0398
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Зыряновск,0.0003
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Жанатас,0.01
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Каратау,0.01
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Чу,0.03
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п.Кордай,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Уральск,0.02
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п.Березовка,0.01
2016,мг/метр куб,"взвешенные частицы РМ-2,5",п.Январцево,0.004
2016,мг/метр куб,"взвешенные частицы РМ-2,5",г.Караганда,0.1
