Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,млн.долл.США,Данные по Казахстану как получателю,948.3
2011,млн.долл.США,Данные по Казахстану как получателю,3166.8
2012,млн.долл.США,Данные по Казахстану как получателю,932.5
2013,млн.долл.США,Данные по Казахстану как получателю,4586.1
2013,млн.долл.США,Данные по Казахстану как донору,8.5
2014,млн.долл.США,Данные по Казахстану как получателю,1892.8
2014,млн.долл.США,Данные по Казахстану как донору,33.4
2015,млн.долл.США,Данные по Казахстану как получателю,4428.9
2015,млн.долл.США,Данные по Казахстану как донору,43.0
2016,млн.долл.США,Данные по Казахстану как получателю,418.7
2016,млн.долл.США,Данные по Казахстану как донору,30.8
2017,млн.долл.США,Данные по Казахстану как получателю,-3796.5
2017,млн.долл.США,Данные по Казахстану как донору,35.2
2018,млн.долл.США,Данные по Казахстану как получателю,-8163.7
2018,млн.долл.США,Данные по Казахстану как донору,4034.0
