Year,UNIT_MEASURE,Value
2010,процент,21.3
2011,процент,21.3
2012,процент,21.3
2013,процент,21.4
2014,процент,21.4
2015,процент,21.4
2016,процент,21.5
2017,процент,21.1
2018,процент,21.8
2019,процент,21.8
