Year,Регионы,Value
2010,,22.7
2010,Актюбинская,34.5
2010,Алматинская,16.1
2010,Атырауская,20.4
2010,Западно-Казахстанская,8.3
2010,Жымбылская,29.4
2010,Карагандинская,4.2
2010,Костанайская,15.4
2010,Кызылординская,35.0
2010,Мангистауская,6.5
2010,Южно-Казахстанская,26.7
2010,Павлодарская,16.3
2010,Северо-Казахстанская,24.0
2010,Восточно-Казахстанская,21.5
2010,г_Нур-Султан,27.6
2010,г_Алматы,6.0
2011,,17.4
2011,Акмолинская,23.3
2011,Актюбинская,16.9
2011,Алматинская,18.9
2011,Атырауская,6.6
2011,Жымбылская,22.5
2011,Карагандинская,8.2
2011,Костанайская,15.7
2011,Кызылординская,10.4
2011,Мангистауская,24.7
2011,Южно-Казахстанская,16.8
2011,Павлодарская,7.8
2011,Восточно-Казахстанская,22.4
2011,г_Нур-Султан,10.4
2011,г_Алматы,15.5
2012,,13.5
2012,Акмолинская,8.2
2012,Алматинская,7.9
2012,Атырауская,6.4
2012,Жымбылская,18.7
2012,Карагандинская,16.2
2012,Кызылординская,15.0
2012,Мангистауская,5.9
2012,Южно-Казахстанская,20.6
2012,Павлодарская,15.5
2012,Северо-Казахстанская,12.2
2012,Восточно-Казахстанская,13.2
2012,г_Алматы,13.0
2013,,13.1
2013,Акмолинская,25.4
2013,Актюбинская,21.3
2013,Алматинская,5.1
2013,Атырауская,25.3
2013,Западно-Казахстанская,7.9
2013,Жымбылская,14.8
2013,Карагандинская,4.1
2013,Костанайская,15.3
2013,Кызылординская,10.6
2013,Мангистауская,11.0
2013,Южно-Казахстанская,10.2
2013,Павлодарская,15.4
2013,Северо-Казахстанская,12.5
2013,Восточно-Казахстанская,8.9
2013,г_Нур-Султан,17.7
2013,г_Алматы,10.2
2014,,15.2093150821552
2014,Акмолинская,16.93910392140256
2014,Актюбинская,10.105603557172453
2014,Алматинская,14.492753623188406
2014,Атырауская,12.295585884667403
2014,Западно-Казахстанская,23.09646624066518
2014,Жымбылская,18.11331691059267
2014,Карагандинская,16.0655474335288
2014,Костанайская,15.730690577316343
2014,Кызылординская,10.012014417300762
2014,Мангистауская,26.55478251633119
2014,Южно-Казахстанская,15.487068297971192
2014,Павлодарская,0.0
2014,Северо-Казахстанская,17.691734169057156
2014,Восточно-Казахстанская,25.83200585525466
2014,г_Нур-Султан,16.335198268468982
2014,г_Алматы,4.805035677389904
2015,,16.549690445562803
2015,Акмолинская,25.89331952356292
2015,Актюбинская,15.02178158329578
2015,Алматинская,17.17749257686928
2015,Атырауская,36.76245328104896
2015,Западно-Казахстанская,38.58024691358025
2015,Жымбылская,3.781147200060498
2015,Карагандинская,32.725190215168126
2015,Костанайская,0.0
2015,Кызылординская,48.761987321883296
2015,Мангистауская,5.236424569304079
2015,Южно-Казахстанская,15.648227838197323
2015,Павлодарская,13.059945148230378
2015,Северо-Казахстанская,15.165876777251183
2015,Восточно-Казахстанская,22.251891410769915
2015,г_Нур-Султан,7.659900421294523
2015,г_Алматы,2.3766517729822225
2016,,15.416634548678024
2016,Акмолинская,0.0
2016,Актюбинская,20.193861066235865
2016,Алматинская,14.472129091391496
2016,Атырауская,30.14045451805413
2016,Западно-Казахстанская,22.779043280182236
2016,Жымбылская,11.533138551437798
2016,Карагандинская,29.37350509840124
2016,Костанайская,32.725190215168126
2016,Кызылординская,5.335325188070213
2016,Мангистауская,5.052801778586226
2016,Южно-Казахстанская,15.989766549408378
2016,Павлодарская,0.0
2016,Северо-Казахстанская,18.940589683692156
2016,Восточно-Казахстанская,17.755681818181817
2016,г_Нур-Султан,11.020093303456637
2016,г_Алматы,7.939343416299472
2017,,14.812204234758116
2017,Акмолинская,17.809439002671414
2017,Актюбинская,5.2521008403361344
2017,Алматинская,25.085919273511777
2017,Атырауская,18.404907975460123
2017,Западно-Казахстанская,7.764577995185961
2017,Жымбылская,12.22593528404923
2017,Карагандинская,13.226346882990915
2017,Костанайская,17.08233686368295
2017,Кызылординская,0.0
2017,Мангистауская,10.298130889243602
2017,Южно-Казахстанская,16.798252981689906
2017,Павлодарская,28.498147620404676
2017,Северо-Казахстанская,18.33588726048747
2017,Восточно-Казахстанская,18.368846436443796
2017,г_Нур-Султан,6.503219093451259
2017,г_Алматы,14.729709824716451
2018,,14.0
2018,Акмолинская,35.9
2018,Актюбинская,5.1
2018,Алматинская,14.8
2018,Атырауская,5.9
2018,Западно-Казахстанская,7.6
2018,Жымбылская,8.0
2018,Карагандинская,26.2
2018,Костанайская,8.7
2018,Кызылординская,10.7
2018,Мангистауская,25.1
2018,Павлодарская,8.5
2018,Северо-Казахстанская,14.8
2018,Туркестанская,10.3
2018,Восточно-Казахстанская,14.0
2018,г_Нур-Султан,29.0
2018,г_Алматы,8.9
2018,г_Шымкент,19.6
2019,,13.7
2019,Акмолинская,17.2
2019,Актюбинская,4.9
2019,Алматинская,25.4
2019,Атырауская,17.8
2019,Западно-Казахстанская,7.6
2019,Жымбылская,11.8
2019,Карагандинская,39.5
2019,Костанайская,26.6
2019,Кызылординская,5.3
2019,Мангистауская,4.9
2019,Павлодарская,0.0
2019,Северо-Казахстанская,0.0
2019,Туркестанская,9.3
2019,Восточно-Казахстанская,23.4
2019,г_Нур-Султан,3.3
2019,г_Алматы,15.4
2019,г_Шымкент,7.1
