Year,UNIT_MEASURE,Регионы,Value
2010,"процент, в ценах 2010 года",,11.3
2010,"процент, в ценах 2010 года",Акмолинская,13.4
2010,"процент, в ценах 2010 года",Актюбинская,7.9
2010,"процент, в ценах 2010 года",Алматинская,17.0
2010,"процент, в ценах 2010 года",Атырауская,5.5
2010,"процент, в ценах 2010 года",Западно-Казахстанская,4.7
2010,"процент, в ценах 2010 года",Жымбылская,13.2
2010,"процент, в ценах 2010 года",Карагандинская,33.2
2010,"процент, в ценах 2010 года",Костанайская,9.5
2010,"процент, в ценах 2010 года",Кызылординская,2.3
2010,"процент, в ценах 2010 года",Мангистауская,3.0
2010,"процент, в ценах 2010 года",Южно-Казахстанская,21.8
2010,"процент, в ценах 2010 года",Павлодарская,28.3
2010,"процент, в ценах 2010 года",Северо-Казахстанская,8.5
2010,"процент, в ценах 2010 года",Восточно-Казахстанская,19.8
2010,"процент, в ценах 2010 года",г_Нур-Султан,3.0
2010,"процент, в ценах 2010 года",г_Алматы,5.2
2010,"в долларах США, в ценах 2010 года",,1027.0
2010,"в долларах США, в ценах 2010 года",Акмолинская,728.0
2010,"в долларах США, в ценах 2010 года",Актюбинская,821.5
2010,"в долларах США, в ценах 2010 года",Алматинская,622.4
2010,"в долларах США, в ценах 2010 года",Атырауская,2014.1
2010,"в долларах США, в ценах 2010 года",Западно-Казахстанская,549.8
2010,"в долларах США, в ценах 2010 года",Жымбылская,384.0
2010,"в долларах США, в ценах 2010 года",Карагандинская,3122.5
2010,"в долларах США, в ценах 2010 года",Костанайская,628.0
2010,"в долларах США, в ценах 2010 года",Кызылординская,194.8
2010,"в долларах США, в ценах 2010 года",Мангистауская,588.3
2010,"в долларах США, в ценах 2010 года",Южно-Казахстанская,703.3
2010,"в долларах США, в ценах 2010 года",Павлодарская,2660.1
2010,"в долларах США, в ценах 2010 года",Северо-Казахстанская,455.6
2010,"в долларах США, в ценах 2010 года",Восточно-Казахстанская,1198.7
2010,"в долларах США, в ценах 2010 года",г_Нур-Султан,528.2
2010,"в долларах США, в ценах 2010 года",г_Алматы,978.3
2011,"процент, в ценах 2010 года",,11.3
2011,"процент, в ценах 2010 года",Акмолинская,13.0
2011,"процент, в ценах 2010 года",Актюбинская,8.0
2011,"процент, в ценах 2010 года",Алматинская,17.6
2011,"процент, в ценах 2010 года",Атырауская,5.3
2011,"процент, в ценах 2010 года",Западно-Казахстанская,4.8
2011,"процент, в ценах 2010 года",Жымбылская,14.8
2011,"процент, в ценах 2010 года",Карагандинская,33.2
2011,"процент, в ценах 2010 года",Костанайская,8.5
2011,"процент, в ценах 2010 года",Кызылординская,2.2
2011,"процент, в ценах 2010 года",Мангистауская,3.4
2011,"процент, в ценах 2010 года",Южно-Казахстанская,20.8
2011,"процент, в ценах 2010 года",Павлодарская,26.0
2011,"процент, в ценах 2010 года",Северо-Казахстанская,7.8
2011,"процент, в ценах 2010 года",Восточно-Казахстанская,21.4
2011,"процент, в ценах 2010 года",г_Нур-Султан,3.5
2011,"процент, в ценах 2010 года",г_Алматы,5.1
2011,"в долларах США, в ценах 2010 года",,1083.4
2011,"в долларах США, в ценах 2010 года",Акмолинская,817.5
2011,"в долларах США, в ценах 2010 года",Актюбинская,866.7
2011,"в долларах США, в ценах 2010 года",Алматинская,680.9
2011,"в долларах США, в ценах 2010 года",Атырауская,1943.6
2011,"в долларах США, в ценах 2010 года",Западно-Казахстанская,584.9
2011,"в долларах США, в ценах 2010 года",Жымбылская,482.3
2011,"в долларах США, в ценах 2010 года",Карагандинская,3300.5
2011,"в долларах США, в ценах 2010 года",Костанайская,640.0
