Year,Value,GeoCode,UNIT_MEASURE
2011,15.03,,PT
2012,13.74,,PT
2013,13.89,,PT
2014,10.18,,PT
2015,10.75,,PT
2016,8.33,,PT
2017,15.56,,PT
2018,12.87,,PT
2014,23725.5328442732,,M_USD
2015,15169.501879678994,,M_USD
2016,21046.413407961463,,M_USD
2017,20899.48552877959,,M_USD
