Year,Value,UNIT_MEASURE
2010,21.3,PT
2011,21.3,PT
2012,21.3,PT
2013,21.4,PT
2014,21.4,PT
2015,21.4,PT
2016,21.5,PT
2017,21.1,PT
2018,21.8,PT
2019,21.8,PT
