Year,Value,SERIES,UNIT_MEASURE
2010,4.7,сайгак,PT
2010,0.7,тугайный благородный олень,PT
2010,0.9,кулан,PT
2010,-25.1,джейран,PT
2010,2.6,архар,PT
2011,19.3,сайгак,PT
2011,7.1,тугайный благородный олень,PT
2011,16.8,кулан,PT
2011,4.3,джейран,PT
2011,2.0,архар,PT
2012,34.8,сайгак,PT
2012,3.1,тугайный благородный олень,PT
2012,10.3,кулан,PT
2012,2.0,джейран,PT
2012,4.7,архар,PT
2013,36.0,сайгак,PT
2013,3.4,тугайный благородный олень,PT
2013,6.1,кулан,PT
2013,0.8,джейран,PT
2013,1.4,архар,PT
2014,37.3,сайгак,PT
2014,4.5,тугайный благородный олень,PT
2014,5.1,кулан,PT
2014,1.5,джейран,PT
2014,6.6,архар,PT
2015,15.1,сайгак,PT
2015,4.5,тугайный благородный олень,PT
2015,5.1,кулан,PT
2015,1.5,джейран,PT
2015,6.6,архар,PT
2016,-63.3,сайгак,PT
2016,42.3,тугайный благородный олень,PT
2016,5.89,кулан,PT
2016,0.16,джейран,PT
2016,1.7,архар,PT
2017,40.9,сайгак,PT
2017,15.2,тугайный благородный олень,PT
2017,4.6,кулан,PT
2017,3.8,джейран,PT
2017,5.1,архар,PT
2018,41.0,сайгак,PT
2018,3.7,тугайный благородный олень,PT
2018,2.9,кулан,PT
2018,2.3,джейран,PT
2018,1.5,архар,PT
2019,55.5,сайгак,PT
2019,2.5,тугайный благородный олень,PT
2019,2.3,кулан,PT
2019,2.3,джейран,PT
2019,5.2,архар,PT
