Year,Value,SERIES,UNIT_MEASURE
2010,148.0,VC_DSR_IJILN,PERSONS
2010,0.906,VC_DSR_DAFF,PERSONS
2010,54.0,VC_DSR_MORT,PERSONS
2010,0.33,VC_DSR_MTMP,PERSONS
2011,12.0,VC_DSR_IJILN,PERSONS
2011,0.07,VC_DSR_DAFF,PERSONS
2011,5.0,VC_DSR_MORT,PERSONS
2011,0.03,VC_DSR_MTMP,PERSONS
2012,20.0,VC_DSR_IJILN,PERSONS
2012,0.119,VC_DSR_DAFF,PERSONS
2012,15.0,VC_DSR_MORT,PERSONS
2012,0.089,VC_DSR_MTMP,PERSONS
2013,12.0,VC_DSR_IJILN,PERSONS
2013,0.07,VC_DSR_DAFF,PERSONS
2013,3.0,VC_DSR_MORT,PERSONS
2013,0.0176,VC_DSR_MTMP,PERSONS
2014,19.0,VC_DSR_IJILN,PERSONS
2014,0.109,VC_DSR_DAFF,PERSONS
2014,9.0,VC_DSR_MORT,PERSONS
2014,0.52,VC_DSR_MTMP,PERSONS
2015,8.0,VC_DSR_IJILN,PERSONS
2015,0.045,VC_DSR_DAFF,PERSONS
2015,0.0,VC_DSR_MORT,PERSONS
2015,0.0,VC_DSR_MTMP,PERSONS
2016,8.0,VC_DSR_IJILN,PERSONS
2016,0.045,VC_DSR_DAFF,PERSONS
2016,1.0,VC_DSR_MORT,PERSONS
2016,0.005,VC_DSR_MTMP,PERSONS
2017,35.0,VC_DSR_IJILN,PERSONS
2017,0.194,VC_DSR_DAFF,PERSONS
2017,11.0,VC_DSR_MORT,PERSONS
2017,0.061,VC_DSR_MTMP,PERSONS
2018,8.0,VC_DSR_IJILN,PERSONS
2018,0.044,VC_DSR_DAFF,PERSONS
2018,1.0,VC_DSR_MORT,PERSONS
2018,0.005,VC_DSR_MTMP,PERSONS
2019,9.0,VC_DSR_IJILN,PERSONS
2019,0.048,VC_DSR_DAFF,PERSONS
2019,2.0,VC_DSR_MORT,PERSONS
2019,0.011,VC_DSR_MTMP,PERSONS
