Year,Value,UNIT_MEASURE
2010,23.4,PT
2011,25.0,PT
2012,27.8,PT
2013,27.4,PT
2014,32.4,PT
2015,32.5,PT
2016,34.6,PT
2017,36.6,PT
2018,40.0,PT
