Year,Value,SERIES,UNIT_MEASURE
2012,42.1,_L_KZ_090c01_1A,PT
2013,85.9,_L_KZ_090c01_1A,PT
2014,91.6,_L_KZ_090c01_1A,PT
2014,85.0,_L_KZ_090c01_1B,PT
2015,96.6,_L_KZ_090c01_1A,PT
2015,72.7,_L_KZ_090c01_1B,PT
2016,96.1,_L_KZ_090c01_1A,PT
2016,86.8,_L_KZ_090c01_1B,PT
2017,96.6,_L_KZ_090c01_1A,PT
2017,87.5,_L_KZ_090c01_1B,PT
2018,96.6,_L_KZ_090c01_1A,PT
2018,87.9,_L_KZ_090c01_1B,PT
2019,98.0,_L_KZ_090c01_1A,PT
2019,88.8,_L_KZ_090c01_1B,PT
