Year,Value,UNIT_MEASURE
2010,30.9,Percent
2011,33.8,Percent
2012,37.6,Percent
2013,37.6,Percent
2014,41.6,Percent
2015,43.4,Percent
2016,42.9,Percent
2017,44.5,Percent
2018,44.8,Percent
