Year,Value,UNIT_MEASURE
2010,1.5,Percent
2011,1.5,Percent
2012,1.3,Percent
2013,0.8,Percent
2014,0.7,Percent
2015,0.6,Percent
2016,0.7,Percent
2017,0.8,Percent
2018,0.6,Percent
