Year,Value,SERIES,UNIT_MEASURE
2010,10.9,developing countries,Percent
2010,9.2,developed countries,Percent
2011,11.1,developing countries,Percent
2011,9.2,developed countries,Percent
2012,11.3,developing countries,Percent
2012,9.4,developed countries,Percent
2013,10.2,developing countries,Percent
2013,8.4,developed countries,Percent
2014,8.7,developing countries,Percent
2014,7.3,developed countries,Percent
2015,8.7,developing countries,Percent
2015,7.2,developed countries,Percent
2016,8.4,developing countries,Percent
2016,6.9,developed countries,Percent
2017,6.7,developing countries,Percent
2017,5.4,developed countries,Percent
2018,53.0,developing countries,Percent
2018,39.0,developed countries,Percent
2019,64.0,developing countries,Percent
2019,40.0,developed countries,Percent
