Year,Value,UNIT_MEASURE
2010,87.1,Percent
2011,71.4,Percent
2012,54.9,Percent
2013,56.4,Percent
2014,54.2,Percent
2015,77.0,Percent
2016,73.2,Percent
2017,73.1,Percent
2018,59.3,Percent
2019,64.0,Percent
