Year,Value,UNIT_MEASURE
2010,92.0,Percent
2011,9.6,Percent
2012,9.9,Percent
2013,9.4,Percent
2014,8.3,Percent
2015,6.7,Percent
2016,5.2,Percent
2017,4.6,Percent
2018,5.0,Percent
2019,4.9,Percent
