Indicator,Disaggregation combinations using this value
#1-1-1,3
#1-2-1,1
#1-4-2,15
#16-1-1,1
#16-1-4,6
#16-2-1,1
#16-9-1,1
#17-8-1,1
#2-2-1,2
#2-2-2,3
#3-2-1,54
#3-2-2,54
#3-4-1,1
#3-4-2,54
#3-6-1,54
#3-9-2,54
#3-9-3,54
#4-1-1,47
#4-2-1,1
#4-2-2-1,1
#4-2-2,19
#4-3-1-2,54
#4-3-1-3,54
#4-6-1,2
#5-4-1,1
#5-b-1,48
#8-3-1-1,19
#8-3-1,19
#8-5-1,43
#8-5-2,19
#8-6-1,19
#8-7-1,19
