Value,ru,kk,en,Disaggregation combinations using this value,Number of indicators
_T,мальчики и девочки,ұлдар және қыздар,Boys and Girls,108,2
F,женщины,әйелдер,Female,725,32
M,мужчины,ерлер,Male,724,32
