Value,ru,kk,en,Disaggregation combinations using this value,Number of indicators
Q1,беднейший,ең кедей,extreme poverty,3,3
Q2,второй,екінші,second,3,3
Q3,средний,орташа,third,3,3
Q4,четвертый,төртінші,fourth,3,3
Q5,богатейший,ең бай,wealthy,3,3
