Indicator,Disaggregation combinations using this value
#1-1-1,43
#1-2-1,1
#11-3-1,16
#16-1-4,6
#16-2-1,1
#16-9-1,1
#17-8-1,1
#2-1-1,1
#2-2-1,2
#2-2-2,3
#3-1-2,16
#3-2-1,48
#3-2-2,48
#3-3-2,1
#3-4-2,48
#3-6-1,48
#3-7-1,1
#3-7-2,32
#3-9-2,48
#3-9-3,48
#4-2-1,1
#4-2-2-1,1
#4-3-1-2,48
#4-3-1-3,48
#4-5-1,3
#4-a-1,15
#5-4-1,1
#5-5-2,16
#5-a-1,15
#5-b-1,45
#6-1-1,16
#6-2-1,15
#8-3-1-1,16
#8-3-1,16
#8-5-2,16
#8-6-1,16
#8-7-1,16
