Indicator,Disaggregation combinations using this value
#10-b-1,2
#17-19-1,2
#17-3-1-2,18
#17-9-1,1
#2-a-2,2
#3-b-2,4
#4-b-1,2
#6-a-1,2
#8-a-1,3
#9-a-1,2
