Indicator,Disaggregation combinations using this value
#1-1-1,45
#1-2-1,1
#11-3-1,19
#16-1-4,6
#16-2-1,1
#16-9-1,1
#17-8-1,1
#2-1-1,1
#2-2-1,2
#2-2-2,3
#3-1-2,19
#3-2-1,57
#3-2-2,57
#3-3-2,1
#3-4-2,57
#3-6-1,57
#3-7-1,1
#3-7-2,38
#3-9-2,57
#3-9-3,57
#4-2-1,1
#4-2-2-1,1
#4-3-1-2,57
#4-3-1-3,57
#4-5-1,3
#4-a-1,18
#5-4-1,1
#5-5-2,19
#5-a-1,15
#5-b-1,45
#6-1-1,16
#6-2-1,15
#8-3-1-1,19
#8-3-1,19
#8-5-2,19
#8-6-1,19
#8-7-1,19
