Year,UNIT_MEASURE,REF_AREA,Value
2015,PT,,15.0
2016,PT,,20.0
2017,PT,,25.0
2017,PT,KZAKM,23.1
2017,PT,KZAKT,18.2
2017,PT,KZALM,18.9
2017,PT,KZATY,34.6
2017,PT,KZZAP,39.5
2017,PT,KZZHA,24.0
2017,PT,KZKAR,28.8
2017,PT,KZKUS,32.5
2017,PT,KZKZY,40.0
2017,PT,KZMAN,34.6
2017,PT,KZONT,11.7
2017,PT,KZPAV,10.0
2017,PT,KZSEV,56.0
2017,PT,KZVOS,17.9
2017,PT,KZNS,30.8
2017,PT,KZALA,29.3
2018,PT,,30.0
2018,PT,KZAKM,23.7
2018,PT,KZAKT,27.3
2018,PT,KZALM,21.6
2018,PT,KZATY,37.5
2018,PT,KZZAP,40.5
2018,PT,KZZHA,30.6
2018,PT,KZKAR,37.1
2018,PT,KZKUS,35.9
2018,PT,KZKZY,41.4
2018,PT,KZMAN,37.0
2018,PT,KZONT,17.6
2018,PT,KZSEV,56.0
2018,PT,KZYUZ,21.2
2018,PT,KZVOS,26.4
2018,PT,KZNS,30.8
2018,PT,KZALA,33.3
2018,PT,KZSHY,20.7
2019,PT,,41.1
2019,PT,KZAKM,61.8
2019,PT,KZAKT,44.2
2019,PT,KZALM,44.9
2019,PT,KZATY,44.0
2019,PT,KZZAP,61.1
2019,PT,KZZHA,32.6
2019,PT,KZKAR,40.0
2019,PT,KZKUS,54.3
2019,PT,KZKZY,50.0
2019,PT,KZMAN,11.1
2019,PT,KZPAV,59.1
2019,PT,KZSEV,52.0
2019,PT,KZYUZ,24.2
2019,PT,KZVOS,53.0
2019,PT,KZNS,20.5
2019,PT,KZALA,27.8
2019,PT,KZSHY,30.0
