Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2013,PER_1000000_POP,_L_KZ_090102_1M,KZZAP,,140.1
2014,PER_1000000_POP,_L_KZ_090102_1M,KZZAP,,354.7
2015,PER_1000000_POP,_L_KZ_090102_1M,KZZAP,,332.4
2018,PER_1000000_POP,_L_KZ_090102_1M,KZZAP,,910.1
2011,PER_1000000_POP,_L_KZ_090102_1M,KZMAN,,23.8
2010,PER_1000000_POP,_L_KZ_090102_1M,KZONT,,668.5
2011,PER_1000000_POP,_L_KZ_090102_1M,KZONT,,900.2
2012,PER_1000000_POP,_L_KZ_090102_1M,KZONT,,1095.8
2013,PER_1000000_POP,_L_KZ_090102_1M,KZONT,,1109.6
2014,PER_1000000_POP,_L_KZ_090102_1M,KZONT,,1254.7
2015,PER_1000000_POP,_L_KZ_090102_1M,KZONT,,1224.7
2016,PER_1000000_POP,_L_KZ_090102_1M,KZONT,,1288.9
2017,PER_1000000_POP,_L_KZ_090102_1M,KZONT,,1931.8
2010,PER_1000000_POP,_L_KZ_090102_1M,KZPAV,,4.0
2011,PER_1000000_POP,_L_KZ_090102_1M,KZPAV,,0.8
2010,PER_1000000_POP,_L_KZ_090102_1M,KZVOS,,16.1
2011,PER_1000000_POP,_L_KZ_090102_1M,KZVOS,,17.2
2012,PER_1000000_POP,_L_KZ_090102_1M,KZVOS,,5.1
2010,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,14.8
2011,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,24.2
2012,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,5.5
2013,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,1.3
2014,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,1.4
2015,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,5.2
2016,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,34.6
2017,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,33.2
2018,PER_1000000_POP,_L_KZ_090102_1M,KZNS,,31.08
2010,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,2623.1
2011,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,3124.3
2012,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,3308.3
2013,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,3699.1
2014,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,3786.8
2015,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,4324.4
2016,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,3945.5
2017,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,4467.0
2018,PER_1000000_POP,_L_KZ_090102_1M,KZALA,,4694.4
2018,PER_1000000_POP,_L_KZ_090102_1M,KZSHY,,2207.4
2010,M_T,_L_KZ_090102_1P,,,194.0
2011,M_T,_L_KZ_090102_1P,,,214.1
2012,M_T,_L_KZ_090102_1P,,,213.2
2013,M_T,_L_KZ_090102_1P,,,225.9
2014,M_T,_L_KZ_090102_1P,,,225.0
2015,M_T,_L_KZ_090102_1P,,,214.6
2016,M_T,_L_KZ_090102_1P,,,205.8
2017,M_T,_L_KZ_090102_1P,,,232.8
2018,M_T,_L_KZ_090102_1P,,,280.8
2010,M_T,_L_KZ_090102_1P,KZATY,,66.3
2011,M_T,_L_KZ_090102_1P,KZATY,,68.1
2012,M_T,_L_KZ_090102_1P,KZATY,,68.2
2013,M_T,_L_KZ_090102_1P,KZATY,,68.7
2014,M_T,_L_KZ_090102_1P,KZATY,,69.0
2015,M_T,_L_KZ_090102_1P,KZATY,,68.6
2016,M_T,_L_KZ_090102_1P,KZATY,,70.1
2017,M_T,_L_KZ_090102_1P,KZATY,,78.3
2018,M_T,_L_KZ_090102_1P,KZATY,,113.9
2010,M_T,_L_KZ_090102_1P,KZPAV,,20.2
2011,M_T,_L_KZ_090102_1P,KZPAV,,26.3
2012,M_T,_L_KZ_090102_1P,KZPAV,,25.7
2013,M_T,_L_KZ_090102_1P,KZPAV,,32.5
2014,M_T,_L_KZ_090102_1P,KZPAV,,35.4
2017,M_T,_L_KZ_090102_1P,KZPAV,,43.5
2018,M_T,_L_KZ_090102_1P,KZPAV,,43.6
2010,M_T,_L_KZ_090102_1O,,,4.7
2011,M_T,_L_KZ_090102_1O,,,4.6
2012,M_T,_L_KZ_090102_1O,,,4.0
2013,M_T,_L_KZ_090102_1O,,,4.0
2014,M_T,_L_KZ_090102_1O,,,3.6
2015,M_T,_L_KZ_090102_1O,,,2.5
2016,M_T,_L_KZ_090102_1O,,,2.6
2017,M_T,_L_KZ_090102_1O,,,2.1
2018,M_T,_L_KZ_090102_1O,,,1.8
2010,M_T,_L_KZ_090102_1O,KZMAN,,4.7
2011,M_T,_L_KZ_090102_1O,KZMAN,,4.6
2012,M_T,_L_KZ_090102_1O,KZMAN,,4.0
2013,M_T,_L_KZ_090102_1O,KZMAN,,4.0
2014,M_T,_L_KZ_090102_1O,KZMAN,,3.6
2015,M_T,_L_KZ_090102_1O,KZMAN,,2.5
2016,M_T,_L_KZ_090102_1O,KZMAN,,2.6
2017,M_T,_L_KZ_090102_1O,KZMAN,,2.1
2018,M_T,_L_KZ_090102_1O,KZMAN,,1.8
