Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2012,PER_1000000_POP,_L_KZ_090102_1N,KZZAP,,402.3
2013,PER_1000000_POP,_L_KZ_090102_1N,KZZAP,,425.8
2014,PER_1000000_POP,_L_KZ_090102_1N,KZZAP,,428.3
2015,PER_1000000_POP,_L_KZ_090102_1N,KZZAP,,436.3
2016,PER_1000000_POP,_L_KZ_090102_1N,KZZAP,,434.3
2017,PER_1000000_POP,_L_KZ_090102_1N,KZZAP,,451.5
2018,PER_1000000_POP,_L_KZ_090102_1N,KZZAP,,424.6
2010,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,570.6
2011,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,745.8
2012,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,802.8
2013,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,864.6
2014,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,882.5
2015,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,929.5
2016,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,957.3
2017,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,957.3
2018,PER_1000000_POP,_L_KZ_090102_1N,KZZHA,,987.4
2010,PER_1000000_POP,_L_KZ_090102_1N,KZKAR,,1440.7
2011,PER_1000000_POP,_L_KZ_090102_1N,KZKAR,,1993.3
2012,PER_1000000_POP,_L_KZ_090102_1N,KZKAR,,2111.4
2013,PER_1000000_POP,_L_KZ_090102_1N,KZKAR,,2299.9
2014,PER_1000000_POP,_L_KZ_090102_1N,KZKAR,,2428.7
2015,PER_1000000_POP,_L_KZ_090102_1N,KZKAR,,2421.2
2016,PER_1000000_POP,_L_KZ_090102_1N,KZKAR,,2418.1
2018,PER_1000000_POP,_L_KZ_090102_1N,KZKAR,,2428.1
2010,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1153.4
2011,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1436.5
2012,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1575.5
2013,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1657.4
2014,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1752.0
2015,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1745.2
2016,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1751.7
2017,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1796.6
2018,PER_1000000_POP,_L_KZ_090102_1N,KZKUS,,1805.5
