Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2013,PT,KZKAR,,,M29T34,6.6
2013,PT,KZKAR,,,Y35T44,6.3
2013,PT,KZKAR,,,Y45T54,5.0
2013,PT,KZKAR,,,Y55T64,9.8
2013,PT,KZKAR,,,Y_GE65,55.2
2013,PT,KZKUS,,,Y15,100.0
2013,PT,KZKUS,,,Y16T24,32.5
2013,PT,KZKUS,,,M25T28,21.8
2013,PT,KZKUS,,,M29T34,14.6
2013,PT,KZKUS,,,Y35T44,14.3
2013,PT,KZKUS,,,Y45T54,17.2
2013,PT,KZKUS,,,Y55T64,27.5
2013,PT,KZKUS,,,Y_GE65,36.3
2013,PT,KZKZY,,,Y16T24,24.6
2013,PT,KZKZY,,,M25T28,7.9
2013,PT,KZKZY,,,M29T34,14.4
2013,PT,KZKZY,,,Y35T44,9.6
2013,PT,KZKZY,,,Y45T54,10.8
2013,PT,KZKZY,,,Y55T64,8.6
2013,PT,KZMAN,,,Y16T24,5.1
2013,PT,KZMAN,,,M25T28,3.7
2013,PT,KZMAN,,,M29T34,4.5
2013,PT,KZMAN,,,Y35T44,2.3
2013,PT,KZMAN,,,Y45T54,3.5
2013,PT,KZMAN,,,Y55T64,2.3
2013,PT,KZONT,,,Y15,89.8
2013,PT,KZONT,,,Y16T24,17.2
2013,PT,KZONT,,,M25T28,15.2
2013,PT,KZONT,,,M29T34,14.4
2013,PT,KZONT,,,Y35T44,13.8
2013,PT,KZONT,,,Y45T54,12.5
2013,PT,KZONT,,,Y55T64,11.9
2013,PT,KZPAV,,,Y15,100.0
2013,PT,KZPAV,,,Y16T24,23.0
2013,PT,KZPAV,,,M25T28,10.4
2013,PT,KZPAV,,,M29T34,13.0
2013,PT,KZPAV,,,Y35T44,9.9
2013,PT,KZPAV,,,Y45T54,10.0
2013,PT,KZPAV,,,Y55T64,23.9
2013,PT,KZPAV,,,Y_GE65,88.3
2013,PT,KZSEV,,,Y15,100.0
2013,PT,KZSEV,,,Y16T24,32.4
2013,PT,KZSEV,,,M25T28,16.2
2013,PT,KZSEV,,,M29T34,17.4
2013,PT,KZSEV,,,Y35T44,21.7
2013,PT,KZSEV,,,Y45T54,17.0
2013,PT,KZSEV,,,Y55T64,37.3
2013,PT,KZSEV,,,Y_GE65,85.5
2013,PT,KZVOS,,,Y16T24,16.8
2013,PT,KZVOS,,,M25T28,11.6
2013,PT,KZVOS,,,M29T34,13.5
2013,PT,KZVOS,,,Y35T44,12.1
2013,PT,KZVOS,,,Y45T54,11.3
2013,PT,KZVOS,,,Y55T64,12.1
2013,PT,KZVOS,,,Y_GE65,14.6
2013,PT,KZNS,,,Y35T44,0.7
2013,PT,KZALA,,,Y16T24,2.4
2013,PT,KZALA,,,M25T28,1.8
2013,PT,KZALA,,,M29T34,1.2
2013,PT,KZALA,,,Y35T44,0.6
2013,PT,KZALA,,,Y45T54,0.8
2013,PT,KZALA,,,Y55T64,1.1
2014,PT,,,,,8.3
2014,PT,KZAKM,,,,8.3
2014,PT,KZAKT,,,,7.0
2014,PT,KZALM,,,,11.5
2014,PT,KZATY,,,,1.8
2014,PT,KZZAP,,,,7.4
2014,PT,KZZHA,,,,22.4
2014,PT,KZKAR,,,,6.4
2014,PT,KZKUS,,,,11.0
2014,PT,KZKZY,,,,10.0
2014,PT,KZMAN,,,,2.4
2014,PT,KZONT,,,,8.6
2014,PT,KZPAV,,,,6.5
2014,PT,KZSEV,,,,8.1
2014,PT,KZVOS,,,,11.6
2014,PT,KZNS,,,,0.3
2014,PT,KZALA,,,,1.2
2014,PT,,M,,,8.0
2014,PT,KZAKM,M,,,6.9
2014,PT,KZAKT,M,,,6.9
2014,PT,KZALM,M,,,10.7
2014,PT,KZATY,M,,,1.8
2014,PT,KZZAP,M,,,8.4
2014,PT,KZZHA,M,,,20.6
2014,PT,KZKAR,M,,,6.3
2014,PT,KZKUS,M,,,10.1
2014,PT,KZKZY,M,,,10.9
2014,PT,KZMAN,M,,,2.0
2014,PT,KZONT,M,,,8.8
2014,PT,KZPAV,M,,,5.7
2014,PT,KZSEV,M,,,7.0
2014,PT,KZVOS,M,,,11.2
2014,PT,KZNS,M,,,0.3
2014,PT,KZALA,M,,,1.5
2014,PT,,F,,,8.7
2014,PT,KZAKM,F,,,9.8
2014,PT,KZAKT,F,,,7.0
2014,PT,KZALM,F,,,12.5
2014,PT,KZATY,F,,,1.9
2014,PT,KZZAP,F,,,6.3
2014,PT,KZZHA,F,,,24.3
2014,PT,KZKAR,F,,,6.4
2014,PT,KZKUS,F,,,11.9
2014,PT,KZKZY,F,,,9.0
2014,PT,KZMAN,F,,,2.9
2014,PT,KZONT,F,,,8.4
2014,PT,KZPAV,F,,,7.4
2014,PT,KZSEV,F,,,9.3
2014,PT,KZVOS,F,,,11.9
2014,PT,KZNS,F,,,0.2
2014,PT,KZALA,F,,,1.0
2014,PT,,,U,,4.8
2014,PT,KZAKM,,U,,4.0
2014,PT,KZAKT,,U,,3.0
2014,PT,KZALM,,U,,8.0
2014,PT,KZATY,,U,,0.3
2014,PT,KZZAP,,U,,2.8
2014,PT,KZZHA,,U,,27.8
2014,PT,KZKAR,,U,,3.9
2014,PT,KZKUS,,U,,7.8
2014,PT,KZKZY,,U,,4.9
2014,PT,KZMAN,,U,,2.5
2014,PT,KZONT,,U,,8.3
2014,PT,KZPAV,,U,,2.0
2014,PT,KZSEV,,U,,5.7
2014,PT,KZVOS,,U,,2.8
2014,PT,KZNS,,U,,0.3
2014,PT,KZALA,,U,,1.2
2014,PT,,,R,,12.7
2014,PT,KZAKM,,R,,12.2
2014,PT,KZAKT,,R,,13.4
2014,PT,KZALM,,R,,12.6
2014,PT,KZATY,,R,,3.4
2014,PT,KZZAP,,R,,11.3
2014,PT,KZZHA,,R,,18.0
2014,PT,KZKAR,,R,,15.4
2014,PT,KZKUS,,R,,14.3
2014,PT,KZKZY,,R,,13.4
2014,PT,KZMAN,,R,,2.3
2014,PT,KZONT,,R,,8.9
2014,PT,KZPAV,,R,,15.6
2014,PT,KZSEV,,R,,9.8
2014,PT,KZVOS,,R,,24.4
2014,PT,,,,Y15,46.0
2014,PT,,,,Y16T24,10.2
2014,PT,,,,M25T28,7.3
2014,PT,,,,M29T34,7.6
2014,PT,,,,Y35T44,6.7
2014,PT,,,,Y45T54,7.7
2014,PT,,,,Y55T64,11.7
2014,PT,,,,Y_GE65,42.6
2014,PT,KZAKM,,,Y15,89.4
2014,PT,KZAKM,,,Y16T24,9.5
2014,PT,KZAKM,,,M25T28,7.7
2014,PT,KZAKM,,,M29T34,6.3
2014,PT,KZAKM,,,Y35T44,6.9
2014,PT,KZAKM,,,Y45T54,8.1
2014,PT,KZAKM,,,Y55T64,10.0
2014,PT,KZAKM,,,Y_GE65,48.1
2014,PT,KZAKT,,,Y16T24,9.6
2014,PT,KZAKT,,,M25T28,6.8
2014,PT,KZAKT,,,M29T34,5.5
2014,PT,KZAKT,,,Y35T44,5.8
2014,PT,KZAKT,,,Y45T54,7.3
2014,PT,KZAKT,,,Y55T64,9.6
2014,PT,KZAKT,,,Y_GE65,32.0
2014,PT,KZALM,,,Y15,16.7
2014,PT,KZALM,,,Y16T24,11.6
2014,PT,KZALM,,,M25T28,9.1
2014,PT,KZALM,,,M29T34,11.9
2014,PT,KZALM,,,Y35T44,10.9
2014,PT,KZALM,,,Y45T54,11.2
2014,PT,KZALM,,,Y55T64,14.4
2014,PT,KZALM,,,Y_GE65,47.4
2014,PT,KZATY,,,Y16T24,2.1
2014,PT,KZATY,,,M25T28,1.6
2014,PT,KZATY,,,M29T34,1.5
2014,PT,KZATY,,,Y35T44,1.5
2014,PT,KZATY,,,Y45T54,2.7
2014,PT,KZATY,,,Y55T64,1.8
2014,PT,KZATY,,,Y_GE65,2.8
2014,PT,KZZAP,,,Y16T24,8.1
2014,PT,KZZAP,,,M25T28,5.6
2014,PT,KZZAP,,,M29T34,8.5
2014,PT,KZZAP,,,Y35T44,6.8
2014,PT,KZZAP,,,Y45T54,7.2
2014,PT,KZZAP,,,Y55T64,7.6
2014,PT,KZZAP,,,Y_GE65,17.9
2014,PT,KZZHA,,,Y15,41.6
2014,PT,KZZHA,,,Y16T24,30.5
2014,PT,KZZHA,,,M25T28,22.6
2014,PT,KZZHA,,,M29T34,18.0
2014,PT,KZZHA,,,Y35T44,17.5
2014,PT,KZZHA,,,Y45T54,17.0
2014,PT,KZZHA,,,Y55T64,35.9
2014,PT,KZZHA,,,Y_GE65,69.7
2014,PT,KZKAR,,,Y15,62.9
2014,PT,KZKAR,,,Y16T24,7.8
2014,PT,KZKAR,,,M25T28,4.4
2014,PT,KZKAR,,,M29T34,4.5
2014,PT,KZKAR,,,Y35T44,4.9
2014,PT,KZKAR,,,Y45T54,5.8
2014,PT,KZKAR,,,Y55T64,10.5
2014,PT,KZKAR,,,Y_GE65,42.0
2014,PT,KZKUS,,,Y15,59.0
