Year,UNIT_MEASURE,SEX,REF_AREA,URBANISATION,Value
2010,PER_1000_LIVE_BIRTHS,M,KZZAP,U,8.335906143871565
2010,PER_1000_LIVE_BIRTHS,M,KZZHA,U,13.39524915163422
2010,PER_1000_LIVE_BIRTHS,M,KZKAR,U,11.385606874328678
2010,PER_1000_LIVE_BIRTHS,M,KZKUS,U,10.696733159872796
2010,PER_1000_LIVE_BIRTHS,M,KZKZY,U,17.691477885652642
2010,PER_1000_LIVE_BIRTHS,M,KZMAN,U,14.82059282371295
2010,PER_1000_LIVE_BIRTHS,M,KZONT,U,17.9718419515993
2010,PER_1000_LIVE_BIRTHS,M,KZPAV,U,9.52834683182468
2010,PER_1000_LIVE_BIRTHS,M,KZSEV,U,8.452192287374539
2010,PER_1000_LIVE_BIRTHS,M,KZVOS,U,16.831980763450556
2010,PER_1000_LIVE_BIRTHS,M,KZNS,U,8.692744901370778
2010,PER_1000_LIVE_BIRTHS,M,KZALA,U,16.60878755850823
2010,PER_1000_LIVE_BIRTHS,M,,R,12.084055266782176
2010,PER_1000_LIVE_BIRTHS,M,KZAKM,R,11.60092807424594
2010,PER_1000_LIVE_BIRTHS,M,KZAKT,R,13.0718954248366
2010,PER_1000_LIVE_BIRTHS,M,KZALM,R,7.95318979719366
2010,PER_1000_LIVE_BIRTHS,M,KZATY,R,15.719801434087149
2010,PER_1000_LIVE_BIRTHS,M,KZZAP,R,12.749827705031011
2010,PER_1000_LIVE_BIRTHS,M,KZZHA,R,13.060513713539398
2010,PER_1000_LIVE_BIRTHS,M,KZKAR,R,7.468259895444362
2010,PER_1000_LIVE_BIRTHS,M,KZKUS,R,13.962147067949116
2010,PER_1000_LIVE_BIRTHS,M,KZKZY,R,15.597616543988783
2010,PER_1000_LIVE_BIRTHS,M,KZMAN,R,12.100926879505664
2010,PER_1000_LIVE_BIRTHS,M,KZONT,R,12.16956802063185
2010,PER_1000_LIVE_BIRTHS,M,KZPAV,R,12.071463061323032
2010,PER_1000_LIVE_BIRTHS,M,KZSEV,R,10.12461059190031
2010,PER_1000_LIVE_BIRTHS,M,KZVOS,R,18.74536005939124
2010,PER_1000_LIVE_BIRTHS,F,,,9.898605120161337
2010,PER_1000_LIVE_BIRTHS,F,KZAKM,,7.259528130671506
2010,PER_1000_LIVE_BIRTHS,F,KZAKT,,9.535160905840286
2010,PER_1000_LIVE_BIRTHS,F,KZALM,,7.591504744690465
2010,PER_1000_LIVE_BIRTHS,F,KZATY,,10.249307479224376
2010,PER_1000_LIVE_BIRTHS,F,KZZAP,,9.481123944147562
2010,PER_1000_LIVE_BIRTHS,F,KZZHA,,8.84122037828828
2010,PER_1000_LIVE_BIRTHS,F,KZKAR,,8.543283061633685
2010,PER_1000_LIVE_BIRTHS,F,KZKUS,,6.00551858464535
2010,PER_1000_LIVE_BIRTHS,F,KZKZY,,14.145585957666496
2010,PER_1000_LIVE_BIRTHS,F,KZMAN,,14.316087880935507
2010,PER_1000_LIVE_BIRTHS,F,KZONT,,11.112563733821414
2010,PER_1000_LIVE_BIRTHS,F,KZPAV,,8.111239860950173
2010,PER_1000_LIVE_BIRTHS,F,KZSEV,,7.981220657276996
2010,PER_1000_LIVE_BIRTHS,F,KZVOS,,13.790112749349523
2010,PER_1000_LIVE_BIRTHS,F,KZNS,,5.852842809364548
2010,PER_1000_LIVE_BIRTHS,F,KZALA,,10.985434128082025
2010,PER_1000_LIVE_BIRTHS,F,,U,10.667322897831228
2010,PER_1000_LIVE_BIRTHS,F,KZAKM,U,8.087091757387247
2010,PER_1000_LIVE_BIRTHS,F,KZAKT,U,9.84175993824778
2010,PER_1000_LIVE_BIRTHS,F,KZALM,U,9.002520705797624
2010,PER_1000_LIVE_BIRTHS,F,KZATY,U,9.2641609317099
2010,PER_1000_LIVE_BIRTHS,F,KZZAP,U,11.139401654996815
2010,PER_1000_LIVE_BIRTHS,F,KZZHA,U,10.91617933723197
2010,PER_1000_LIVE_BIRTHS,F,KZKAR,U,8.393956351426972
2010,PER_1000_LIVE_BIRTHS,F,KZKUS,U,6.381620931716657
2010,PER_1000_LIVE_BIRTHS,F,KZKZY,U,14.699127239320166
2010,PER_1000_LIVE_BIRTHS,F,KZMAN,U,15.59341611319665
2010,PER_1000_LIVE_BIRTHS,F,KZONT,U,13.560022026431716
2010,PER_1000_LIVE_BIRTHS,F,KZPAV,U,9.86679822397632
2010,PER_1000_LIVE_BIRTHS,F,KZSEV,U,8.161044613710555
2010,PER_1000_LIVE_BIRTHS,F,KZVOS,U,14.626635873749038
2010,PER_1000_LIVE_BIRTHS,F,KZNS,U,5.852842809364548
2010,PER_1000_LIVE_BIRTHS,F,KZALA,U,10.985434128082025
2010,PER_1000_LIVE_BIRTHS,F,,R,9.053817301021788
2010,PER_1000_LIVE_BIRTHS,F,KZAKM,R,6.324666198172874
2010,PER_1000_LIVE_BIRTHS,F,KZAKT,R,9.03990024937656
2010,PER_1000_LIVE_BIRTHS,F,KZALM,R,7.1187258687258685
2010,PER_1000_LIVE_BIRTHS,F,KZATY,R,11.330621731551425
2010,PER_1000_LIVE_BIRTHS,F,KZZAP,R,7.52162467092892
2010,PER_1000_LIVE_BIRTHS,F,KZZHA,R,7.613334871380782
2010,PER_1000_LIVE_BIRTHS,F,KZKAR,R,9.069400630914828
2010,PER_1000_LIVE_BIRTHS,F,KZKUS,R,5.61612157251404
2010,PER_1000_LIVE_BIRTHS,F,KZKZY,R,13.693490902269742
2010,PER_1000_LIVE_BIRTHS,F,KZMAN,R,13.084632516703786
2010,PER_1000_LIVE_BIRTHS,F,KZONT,R,9.613357507273264
2010,PER_1000_LIVE_BIRTHS,F,KZPAV,R,4.529441368897836
2010,PER_1000_LIVE_BIRTHS,F,KZSEV,R,7.844756399669695
2010,PER_1000_LIVE_BIRTHS,F,KZVOS,R,12.711022840119163
2011,PER_1000_LIVE_BIRTHS,_T,,,9.796345488207358
2011,PER_1000_LIVE_BIRTHS,_T,KZAKM,,10.019723865877712
2011,PER_1000_LIVE_BIRTHS,_T,KZAKT,,7.195862379132
2011,PER_1000_LIVE_BIRTHS,_T,KZALM,,7.858075750979538
2011,PER_1000_LIVE_BIRTHS,_T,KZATY,,11.752415774353617
2011,PER_1000_LIVE_BIRTHS,_T,KZZAP,,8.826496301277741
2011,PER_1000_LIVE_BIRTHS,_T,KZZHA,,9.554250773025744
2011,PER_1000_LIVE_BIRTHS,_T,KZKAR,,6.586801696101436
2011,PER_1000_LIVE_BIRTHS,_T,KZKUS,,7.768361581920904
2011,PER_1000_LIVE_BIRTHS,_T,KZKZY,,11.82961379790248
2011,PER_1000_LIVE_BIRTHS,_T,KZMAN,,12.627519283403831
2011,PER_1000_LIVE_BIRTHS,_T,KZONT,,10.22744427112162
2011,PER_1000_LIVE_BIRTHS,_T,KZPAV,,8.828996282527882
2011,PER_1000_LIVE_BIRTHS,_T,KZSEV,,7.038190838813892
2011,PER_1000_LIVE_BIRTHS,_T,KZVOS,,13.47520823339584
2011,PER_1000_LIVE_BIRTHS,_T,KZNS,,7.052896725440806
2011,PER_1000_LIVE_BIRTHS,_T,KZALA,,13.971025997221671
2011,PER_1000_LIVE_BIRTHS,_T,,U,10.994578710036988
