Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,SEX,Value
2018,PT,SKILL_LTRCY,F,74.6
2018,PT,SKILL_LTRCY,M,72.6
2018,PT,SKILL_MATH,F,73.5
2018,PT,SKILL_MATH,M,72.9
