Year,UNIT_MEASURE,SERIES,Value
2010,PERSONS,VC_DSR_IJILN,148.0
2010,PERSONS,VC_DSR_DAFF,0.906
2010,PERSONS,VC_DSR_MORT,54.0
2010,PERSONS,VC_DSR_MTMP,0.33
2011,PERSONS,VC_DSR_IJILN,12.0
2011,PERSONS,VC_DSR_DAFF,0.07
2011,PERSONS,VC_DSR_MORT,5.0
2011,PERSONS,VC_DSR_MTMP,0.03
2012,PERSONS,VC_DSR_IJILN,20.0
2012,PERSONS,VC_DSR_DAFF,0.119
2012,PERSONS,VC_DSR_MORT,15.0
2012,PERSONS,VC_DSR_MTMP,0.089
2013,PERSONS,VC_DSR_IJILN,12.0
2013,PERSONS,VC_DSR_DAFF,0.07
2013,PERSONS,VC_DSR_MORT,3.0
2013,PERSONS,VC_DSR_MTMP,0.0176
2014,PERSONS,VC_DSR_IJILN,19.0
2014,PERSONS,VC_DSR_DAFF,0.109
2014,PERSONS,VC_DSR_MORT,9.0
2014,PERSONS,VC_DSR_MTMP,0.52
2015,PERSONS,VC_DSR_IJILN,8.0
2015,PERSONS,VC_DSR_DAFF,0.045
2015,PERSONS,VC_DSR_MORT,0.0
2015,PERSONS,VC_DSR_MTMP,0.0
2016,PERSONS,VC_DSR_IJILN,8.0
2016,PERSONS,VC_DSR_DAFF,0.045
2016,PERSONS,VC_DSR_MORT,1.0
2016,PERSONS,VC_DSR_MTMP,0.005
2017,PERSONS,VC_DSR_IJILN,35.0
2017,PERSONS,VC_DSR_DAFF,0.194
2017,PERSONS,VC_DSR_MORT,11.0
2017,PERSONS,VC_DSR_MTMP,0.061
2018,PERSONS,VC_DSR_IJILN,8.0
2018,PERSONS,VC_DSR_DAFF,0.044
2018,PERSONS,VC_DSR_MORT,1.0
2018,PERSONS,VC_DSR_MTMP,0.005
2019,PERSONS,VC_DSR_IJILN,9.0
2019,PERSONS,VC_DSR_DAFF,0.048
2019,PERSONS,VC_DSR_MORT,2.0
2019,PERSONS,VC_DSR_MTMP,0.011
