Year,UNIT_MEASURE,REF_AREA,Value
2015,PT,,30.0
2016,PT,,44.7
2017,PT,,55.0
2017,PT,KZAKM,58.2
2017,PT,KZAKT,38.2
2017,PT,KZALM,36.0
2017,PT,KZATY,52.3
2017,PT,KZZAP,52.1
2017,PT,KZZHA,53.3
2017,PT,KZKAR,48.2
2017,PT,KZKUS,59.7
2017,PT,KZKZY,40.3
2017,PT,KZMAN,47.0
2017,PT,KZONT,64.5
2017,PT,KZPAV,60.8
2017,PT,KZSEV,61.0
2017,PT,KZVOS,56.9
2017,PT,KZNS,88.1
2017,PT,KZALA,100.0
2018,PT,,60.0
2018,PT,KZAKM,59.6
2018,PT,KZAKT,60.2
2018,PT,KZALM,43.3
2018,PT,KZATY,60.6
2018,PT,KZZAP,71.8
2018,PT,KZZHA,62.2
2018,PT,KZKAR,55.1
2018,PT,KZKUS,59.6
2018,PT,KZKZY,46.4
2018,PT,KZMAN,59.9
2018,PT,KZPAV,60.2
2018,PT,KZSEV,61.0
2018,PT,KZYUZ,63.4
2018,PT,KZVOS,58.9
2018,PT,KZNS,88.2
2018,PT,KZALA,99.5
2018,PT,KZSHY,63.4
2019,PT,,64.92
2019,PT,KZAKM,78.02
2019,PT,KZAKT,70.9
2019,PT,KZALM,51.84
2019,PT,KZATY,60.0
2019,PT,KZZAP,72.03
2019,PT,KZZHA,65.84
2019,PT,KZKAR,59.68
2019,PT,KZKUS,72.89
2019,PT,KZKZY,69.62
2019,PT,KZMAN,70.29
2019,PT,KZPAV,87.43
2019,PT,KZSEV,55.58
2019,PT,KZYUZ,43.26
2019,PT,KZVOS,72.22
2019,PT,KZNS,80.46
2019,PT,KZALA,86.83
2019,PT,KZSHY,64.23
