Year,UNIT_MEASURE,REF_AREA,Value
2010,PT_PREV_Y,,103.7
2011,PT_PREV_Y,,105.0
2011,PT_PREV_Y,KZAKM,115.1
2011,PT_PREV_Y,KZAKT,101.8
2011,PT_PREV_Y,KZALM,102.3
2011,PT_PREV_Y,KZATY,97.8
2011,PT_PREV_Y,KZZAP,104.0
2011,PT_PREV_Y,KZZHA,112.4
2011,PT_PREV_Y,KZKAR,106.5
2011,PT_PREV_Y,KZKUS,116.0
2011,PT_PREV_Y,KZKZY,99.0
2011,PT_PREV_Y,KZMAN,89.3
2011,PT_PREV_Y,KZONT,102.0
2011,PT_PREV_Y,KZPAV,110.4
2011,PT_PREV_Y,KZSEV,120.9
2011,PT_PREV_Y,KZVOS,108.8
2011,PT_PREV_Y,KZNS,106.4
2011,PT_PREV_Y,KZALA,106.0
2012,PT_PREV_Y,,102.5
2012,PT_PREV_Y,KZAKM,94.6
2012,PT_PREV_Y,KZAKT,104.7
2012,PT_PREV_Y,KZALM,100.0
2012,PT_PREV_Y,KZATY,94.7
2012,PT_PREV_Y,KZZAP,105.1
2012,PT_PREV_Y,KZZHA,110.0
2012,PT_PREV_Y,KZKAR,100.9
2012,PT_PREV_Y,KZKUS,93.5
2012,PT_PREV_Y,KZKZY,100.9
2012,PT_PREV_Y,KZMAN,90.0
2012,PT_PREV_Y,KZONT,100.5
2012,PT_PREV_Y,KZPAV,108.9
2012,PT_PREV_Y,KZSEV,98.5
2012,PT_PREV_Y,KZVOS,114.6
2012,PT_PREV_Y,KZNS,111.0
2012,PT_PREV_Y,KZALA,105.6
2013,PT_PREV_Y,,105.1
2013,PT_PREV_Y,KZAKM,104.1
2013,PT_PREV_Y,KZAKT,103.7
2013,PT_PREV_Y,KZALM,108.1
2013,PT_PREV_Y,KZATY,102.1
2013,PT_PREV_Y,KZZAP,102.3
2013,PT_PREV_Y,KZZHA,104.6
2013,PT_PREV_Y,KZKAR,106.7
2013,PT_PREV_Y,KZKUS,111.9
2013,PT_PREV_Y,KZKZY,101.9
2013,PT_PREV_Y,KZMAN,103.7
2013,PT_PREV_Y,KZONT,101.6
2013,PT_PREV_Y,KZPAV,99.4
2013,PT_PREV_Y,KZSEV,108.1
2013,PT_PREV_Y,KZVOS,107.5
2013,PT_PREV_Y,KZNS,106.2
2013,PT_PREV_Y,KZALA,113.3
2014,PT_PREV_Y,,104.6
2014,PT_PREV_Y,KZAKM,103.7
2014,PT_PREV_Y,KZAKT,104.8
2014,PT_PREV_Y,KZALM,102.9
2014,PT_PREV_Y,KZATY,99.3
2014,PT_PREV_Y,KZZAP,104.8
2014,PT_PREV_Y,KZZHA,104.0
2014,PT_PREV_Y,KZKAR,107.3
2014,PT_PREV_Y,KZKUS,103.9
2014,PT_PREV_Y,KZKZY,104.5
2014,PT_PREV_Y,KZMAN,107.8
2014,PT_PREV_Y,KZONT,104.0
2014,PT_PREV_Y,KZPAV,99.9
2014,PT_PREV_Y,KZSEV,110.9
2014,PT_PREV_Y,KZVOS,102.9
2014,PT_PREV_Y,KZNS,104.1
2014,PT_PREV_Y,KZALA,104.0
2015,PT_PREV_Y,,100.6
2015,PT_PREV_Y,KZAKM,102.3
2015,PT_PREV_Y,KZAKT,95.0
2015,PT_PREV_Y,KZALM,108.0
2015,PT_PREV_Y,KZATY,100.9
2015,PT_PREV_Y,KZZAP,99.7
2015,PT_PREV_Y,KZZHA,104.1
2015,PT_PREV_Y,KZKAR,101.2
2015,PT_PREV_Y,KZKUS,96.6
2015,PT_PREV_Y,KZKZY,97.1
2015,PT_PREV_Y,KZMAN,90.8
2015,PT_PREV_Y,KZONT,102.9
2015,PT_PREV_Y,KZPAV,101.1
2015,PT_PREV_Y,KZSEV,99.5
2015,PT_PREV_Y,KZVOS,101.7
2015,PT_PREV_Y,KZNS,99.3
2015,PT_PREV_Y,KZALA,95.6
2016,PT_PREV_Y,,100.2
2016,PT_PREV_Y,KZAKM,101.7
2016,PT_PREV_Y,KZAKT,102.4
2016,PT_PREV_Y,KZALM,99.5
2016,PT_PREV_Y,KZATY,104.0
2016,PT_PREV_Y,KZZAP,101.9
2016,PT_PREV_Y,KZZHA,103.1
2016,PT_PREV_Y,KZKAR,103.3
2016,PT_PREV_Y,KZKUS,97.2
2016,PT_PREV_Y,KZKZY,88.7
2016,PT_PREV_Y,KZMAN,99.6
2016,PT_PREV_Y,KZONT,101.0
2016,PT_PREV_Y,KZPAV,100.7
2016,PT_PREV_Y,KZSEV,102.8
2016,PT_PREV_Y,KZVOS,102.5
2016,PT_PREV_Y,KZNS,102.5
2016,PT_PREV_Y,KZALA,99.3
2017,PT_PREV_Y,,104.3
2017,PT_PREV_Y,KZAKM,105.9
2017,PT_PREV_Y,KZAKT,106.3
2017,PT_PREV_Y,KZALM,103.7
2017,PT_PREV_Y,KZATY,116.4
2017,PT_PREV_Y,KZZAP,103.4
2017,PT_PREV_Y,KZZHA,104.7
2017,PT_PREV_Y,KZKAR,107.9
2017,PT_PREV_Y,KZKUS,107.7
2017,PT_PREV_Y,KZKZY,96.7
2017,PT_PREV_Y,KZMAN,101.0
2017,PT_PREV_Y,KZONT,105.9
2017,PT_PREV_Y,KZPAV,107.5
2017,PT_PREV_Y,KZSEV,107.9
2017,PT_PREV_Y,KZVOS,101.9
2017,PT_PREV_Y,KZNS,97.4
2017,PT_PREV_Y,KZALA,102.1
2018,PT_PREV_Y,,103.1
2018,PT_PREV_Y,KZAKM,103.0
2018,PT_PREV_Y,KZAKT,104.1
2018,PT_PREV_Y,KZALM,103.5
2018,PT_PREV_Y,KZATY,108.6
2018,PT_PREV_Y,KZZAP,97.9
2018,PT_PREV_Y,KZZHA,102.5
2018,PT_PREV_Y,KZKAR,103.0
2018,PT_PREV_Y,KZKUS,109.8
2018,PT_PREV_Y,KZKZY,99.2
2018,PT_PREV_Y,KZMAN,92.3
2018,PT_PREV_Y,KZPAV,105.6
2018,PT_PREV_Y,KZSEV,102.2
2018,PT_PREV_Y,KZYUZ,101.1
2018,PT_PREV_Y,KZVOS,110.3
2018,PT_PREV_Y,KZNS,88.0
2018,PT_PREV_Y,KZALA,102.0
2018,PT_PREV_Y,KZSHY,110.8
2019,PT_PREV_Y,,103.7
2019,PT_PREV_Y,KZAKM,103.3
2019,PT_PREV_Y,KZAKT,105.3
2019,PT_PREV_Y,KZALM,104.9
2019,PT_PREV_Y,KZATY,103.4
2019,PT_PREV_Y,KZZAP,98.2
2019,PT_PREV_Y,KZZHA,105.0
2019,PT_PREV_Y,KZKAR,105.2
2019,PT_PREV_Y,KZKUS,105.9
2019,PT_PREV_Y,KZKZY,101.7
2019,PT_PREV_Y,KZMAN,100.9
2019,PT_PREV_Y,KZPAV,106.3
2019,PT_PREV_Y,KZSEV,102.8
2019,PT_PREV_Y,KZYUZ,109.0
2019,PT_PREV_Y,KZVOS,105.1
2019,PT_PREV_Y,KZNS,98.9
2019,PT_PREV_Y,KZALA,101.8
2019,PT_PREV_Y,KZSHY,97.6
