Year,UNIT_MEASURE,URBANISATION,REF_AREA,Value
2010,PT,,,99.4
2010,PT,,KZAKM,99.7
2010,PT,,KZAKT,99.7
2010,PT,,KZALM,99.8
2010,PT,,KZATY,99.5
2010,PT,,KZZAP,99.4
2010,PT,,KZZHA,99.3
2010,PT,,KZKAR,99.5
2010,PT,,KZKUS,99.3
2010,PT,,KZKZY,99.7
2010,PT,,KZMAN,99.5
2010,PT,,KZONT,98.8
2010,PT,,KZPAV,99.6
2010,PT,,KZSEV,99.5
2010,PT,,KZVOS,99.2
2010,PT,,KZNS,99.3
2010,PT,,KZALA,99.7
2010,PT,U,,99.8
2010,PT,U,KZAKM,100.0
2010,PT,U,KZAKT,100.0
2010,PT,U,KZALM,100.0
2010,PT,U,KZATY,100.0
2010,PT,U,KZZAP,99.7
2010,PT,U,KZZHA,99.7
2010,PT,U,KZKAR,99.8
2010,PT,U,KZKUS,99.6
2010,PT,U,KZKZY,100.0
2010,PT,U,KZMAN,99.8
2010,PT,U,KZONT,99.6
2010,PT,U,KZPAV,99.9
2010,PT,U,KZSEV,99.8
2010,PT,U,KZVOS,99.8
2010,PT,U,KZNS,99.7
2010,PT,U,KZALA,100.0
2010,PT,R,,99.7
2010,PT,R,KZAKM,99.9
2010,PT,R,KZAKT,99.9
2010,PT,R,KZALM,100.0
2010,PT,R,KZATY,99.7
2010,PT,R,KZZAP,99.8
2010,PT,R,KZZHA,99.6
2010,PT,R,KZKAR,99.4
2010,PT,R,KZKUS,99.9
2010,PT,R,KZKZY,99.8
2010,PT,R,KZMAN,100.0
2010,PT,R,KZONT,99.6
2010,PT,R,KZPAV,99.9
2010,PT,R,KZSEV,99.9
2010,PT,R,KZVOS,99.1
2011,PT,,,99.9
2011,PT,,KZAKM,99.9
2011,PT,,KZAKT,100.0
2011,PT,,KZALM,100.0
2011,PT,,KZATY,100.0
2011,PT,,KZZAP,99.9
2011,PT,,KZZHA,99.8
2011,PT,,KZKAR,99.8
2011,PT,,KZKUS,99.9
2011,PT,,KZKZY,99.9
2011,PT,,KZMAN,99.8
2011,PT,,KZONT,99.8
2011,PT,,KZPAV,99.8
2011,PT,,KZSEV,99.9
2011,PT,,KZVOS,99.8
2011,PT,,KZNS,99.6
2011,PT,,KZALA,99.9
2011,PT,U,,99.9
2011,PT,U,KZAKM,100.0
2011,PT,U,KZAKT,100.0
2011,PT,U,KZALM,100.0
2011,PT,U,KZATY,100.0
2011,PT,U,KZZAP,99.9
2011,PT,U,KZZHA,100.0
2011,PT,U,KZKAR,99.9
2011,PT,U,KZKUS,99.9
2011,PT,U,KZKZY,99.9
2011,PT,U,KZMAN,99.8
2011,PT,U,KZONT,99.6
2011,PT,U,KZPAV,99.8
2011,PT,U,KZSEV,100.0
2011,PT,U,KZVOS,100.0
2011,PT,U,KZNS,99.6
2011,PT,U,KZALA,99.9
2011,PT,R,,99.8
2011,PT,R,KZAKM,99.9
2011,PT,R,KZAKT,99.9
2011,PT,R,KZALM,100.0
2011,PT,R,KZATY,100.0
2011,PT,R,KZZAP,100.0
2011,PT,R,KZZHA,99.6
2011,PT,R,KZKAR,99.1
2011,PT,R,KZKUS,99.9
2011,PT,R,KZKZY,100.0
2011,PT,R,KZMAN,99.7
2011,PT,R,KZONT,99.9
2011,PT,R,KZPAV,99.6
2011,PT,R,KZSEV,99.9
2011,PT,R,KZVOS,98.9
2012,PT,,,99.8
2012,PT,,KZAKM,99.9
2012,PT,,KZAKT,100.0
2012,PT,,KZALM,100.0
2012,PT,,KZATY,99.9
2012,PT,,KZZAP,99.8
2012,PT,,KZZHA,99.9
2012,PT,,KZKAR,99.9
2012,PT,,KZKUS,99.9
2012,PT,,KZKZY,99.8
2012,PT,,KZMAN,99.8
2012,PT,,KZONT,99.7
2012,PT,,KZPAV,99.8
2012,PT,,KZSEV,99.9
2012,PT,,KZVOS,99.8
2012,PT,,KZNS,99.6
2012,PT,,KZALA,99.8
2012,PT,U,,99.9
2012,PT,U,KZAKM,100.0
2012,PT,U,KZAKT,100.0
2012,PT,U,KZALM,100.0
2012,PT,U,KZATY,99.9
2012,PT,U,KZZAP,99.8
2012,PT,U,KZZHA,100.0
2012,PT,U,KZKAR,99.9
2012,PT,U,KZKUS,100.0
2012,PT,U,KZKZY,99.9
2012,PT,U,KZMAN,99.8
2012,PT,U,KZONT,100.0
2012,PT,U,KZPAV,99.9
2012,PT,U,KZSEV,99.9
2012,PT,U,KZVOS,99.8
2012,PT,U,KZNS,99.6
2012,PT,R,,99.5
2012,PT,R,KZAKM,99.9
2012,PT,R,KZAKT,99.9
2012,PT,R,KZALM,100.0
2012,PT,R,KZATY,99.7
2012,PT,R,KZZAP,99.7
2012,PT,R,KZZHA,99.7
2012,PT,R,KZKAR,99.5
2012,PT,R,KZKUS,99.8
2012,PT,R,KZKZY,99.7
2012,PT,R,KZMAN,99.8
2012,PT,R,KZONT,99.1
2012,PT,R,KZPAV,99.1
2012,PT,R,KZSEV,99.9
2012,PT,R,KZVOS,99.4
2013,PT,,,99.8
2013,PT,,KZAKM,99.9
2013,PT,,KZAKT,100.0
2013,PT,,KZALM,100.0
2013,PT,,KZATY,100.0
2013,PT,,KZZAP,99.8
2013,PT,,KZZHA,99.8
2013,PT,,KZKAR,99.8
2013,PT,,KZKUS,100.0
2013,PT,,KZKZY,99.6
2013,PT,,KZMAN,99.7
2013,PT,,KZONT,99.8
2013,PT,,KZPAV,99.9
2013,PT,,KZSEV,99.9
2013,PT,,KZVOS,99.8
2013,PT,,KZNS,99.5
2013,PT,,KZALA,100.0
2013,PT,U,,99.8
2013,PT,U,KZAKM,100.0
2013,PT,U,KZAKT,100.0
2013,PT,U,KZALM,100.0
2013,PT,U,KZATY,100.0
2013,PT,U,KZZAP,99.8
2013,PT,U,KZZHA,100.0
2013,PT,U,KZKAR,99.8
2013,PT,U,KZKUS,100.0
2013,PT,U,KZKZY,99.4
2013,PT,U,KZMAN,99.7
2013,PT,U,KZONT,99.7
2013,PT,U,KZPAV,99.9
