Year,UNIT_MEASURE,SERIES,URBANISATION,REF_AREA,Value
2019,PT,наличие только надворных туалетов,,KZKUS,9.30232558139535
2019,PT,наличие только надворных туалетов,,KZKZY,40.76433121019109
2019,PT,наличие только надворных туалетов,,KZMAN,25.161290322580644
2019,PT,наличие только надворных туалетов,,KZPAV,0.5434782608695652
2019,PT,наличие только надворных туалетов,,KZSEV,13.580246913580249
2019,PT,наличие только надворных туалетов,,KZYUZ,59.130434782608695
2019,PT,наличие только надворных туалетов,,KZVOS,40.50073637702504
2019,PT,наличие только надворных туалетов,,KZNS,0.0
2019,PT,наличие только надворных туалетов,,KZALA,1.0344827586206895
2019,PT,наличие только надворных туалетов,,KZSHY,18.497109826589597
2019,PT,наличие только теплых туалетов,,,27.074885104082185
2019,PT,наличие только теплых туалетов,,KZAKM,24.869565217391305
2019,PT,наличие только теплых туалетов,,KZAKT,27.27272727272727
2019,PT,наличие только теплых туалетов,,KZALM,9.734513274336283
2019,PT,наличие только теплых туалетов,,KZATY,34.78260869565217
2019,PT,наличие только теплых туалетов,,KZZAP,18.205128205128204
2019,PT,наличие только теплых туалетов,,KZZHA,13.449023861171366
2019,PT,наличие только теплых туалетов,,KZKAR,57.72811918063314
2019,PT,наличие только теплых туалетов,,KZKUS,24.612403100775197
2019,PT,наличие только теплых туалетов,,KZKZY,14.331210191082802
2019,PT,наличие только теплых туалетов,,KZMAN,46.45161290322581
2019,PT,наличие только теплых туалетов,,KZPAV,27.445652173913043
2019,PT,наличие только теплых туалетов,,KZSEV,23.456790123456788
2019,PT,наличие только теплых туалетов,,KZYUZ,5.978260869565218
2019,PT,наличие только теплых туалетов,,KZVOS,27.098674521354933
2019,PT,наличие только теплых туалетов,,KZNS,99.15254237288136
2019,PT,наличие только теплых туалетов,,KZALA,95.86206896551724
2019,PT,наличие только теплых туалетов,,KZSHY,35.26011560693642
