Year,REF_AREA,Value
2010,,22.7
2010,KZAKT,34.5
2010,KZALM,16.1
2010,KZATY,20.4
2010,KZZAP,8.3
2010,KZZHA,29.4
2010,KZKAR,4.2
2010,KZKUS,15.4
2010,KZKZY,35.0
2010,KZMAN,6.5
2010,KZONT,26.7
2010,KZPAV,16.3
2010,KZSEV,24.0
2010,KZVOS,21.5
2010,KZNS,27.6
2010,KZALA,6.0
2011,,17.4
2011,KZAKM,23.3
2011,KZAKT,16.9
2011,KZALM,18.9
2011,KZATY,6.6
2011,KZZHA,22.5
2011,KZKAR,8.2
2011,KZKUS,15.7
2011,KZKZY,10.4
2011,KZMAN,24.7
2011,KZONT,16.8
2011,KZPAV,7.8
2011,KZVOS,22.4
2011,KZNS,10.4
2011,KZALA,15.5
2012,,13.5
2012,KZAKM,8.2
2012,KZALM,7.9
2012,KZATY,6.4
2012,KZZHA,18.7
2012,KZKAR,16.2
2012,KZKZY,15.0
2012,KZMAN,5.9
2012,KZONT,20.6
2012,KZPAV,15.5
2012,KZSEV,12.2
2012,KZVOS,13.2
2012,KZALA,13.0
2013,,13.1
2013,KZAKM,25.4
2013,KZAKT,21.3
2013,KZALM,5.1
2013,KZATY,25.3
2013,KZZAP,7.9
2013,KZZHA,14.8
2013,KZKAR,4.1
2013,KZKUS,15.3
2013,KZKZY,10.6
2013,KZMAN,11.0
2013,KZONT,10.2
2013,KZPAV,15.4
2013,KZSEV,12.5
2013,KZVOS,8.9
2013,KZNS,17.7
2013,KZALA,10.2
2014,,15.2093150821552
2014,KZAKM,16.93910392140256
2014,KZAKT,10.105603557172453
2014,KZALM,14.492753623188406
2014,KZATY,12.295585884667403
2014,KZZAP,23.09646624066518
2014,KZZHA,18.11331691059267
2014,KZKAR,16.0655474335288
2014,KZKUS,15.730690577316343
2014,KZKZY,10.012014417300762
2014,KZMAN,26.55478251633119
2014,KZONT,15.487068297971192
2014,KZPAV,0.0
2014,KZSEV,17.691734169057156
2014,KZVOS,25.83200585525466
2014,KZNS,16.335198268468982
2014,KZALA,4.805035677389904
2015,,16.549690445562803
2015,KZAKM,25.89331952356292
2015,KZAKT,15.02178158329578
2015,KZALM,17.17749257686928
2015,KZATY,36.76245328104896
2015,KZZAP,38.58024691358025
2015,KZZHA,3.781147200060498
2015,KZKAR,32.725190215168126
2015,KZKUS,0.0
2015,KZKZY,48.761987321883296
2015,KZMAN,5.236424569304079
2015,KZONT,15.648227838197323
2015,KZPAV,13.059945148230378
2015,KZSEV,15.165876777251183
2015,KZVOS,22.251891410769915
2015,KZNS,7.659900421294523
2015,KZALA,2.3766517729822225
2016,,15.416634548678024
2016,KZAKM,0.0
2016,KZAKT,20.193861066235865
2016,KZALM,14.472129091391496
2016,KZATY,30.14045451805413
2016,KZZAP,22.779043280182236
2016,KZZHA,11.533138551437798
2016,KZKAR,29.37350509840124
2016,KZKUS,32.725190215168126
2016,KZKZY,5.335325188070213
2016,KZMAN,5.052801778586226
2016,KZONT,15.989766549408378
2016,KZPAV,0.0
2016,KZSEV,18.940589683692156
2016,KZVOS,17.755681818181817
2016,KZNS,11.020093303456637
2016,KZALA,7.939343416299472
2017,,14.812204234758116
2017,KZAKM,17.809439002671414
2017,KZAKT,5.2521008403361344
2017,KZALM,25.085919273511777
2017,KZATY,18.404907975460123
2017,KZZAP,7.764577995185961
2017,KZZHA,12.22593528404923
2017,KZKAR,13.226346882990915
2017,KZKUS,17.08233686368295
2017,KZKZY,0.0
2017,KZMAN,10.298130889243602
2017,KZONT,16.798252981689906
2017,KZPAV,28.498147620404676
2017,KZSEV,18.33588726048747
2017,KZVOS,18.368846436443796
2017,KZNS,6.503219093451259
2017,KZALA,14.729709824716451
2018,,14.0
2018,KZAKM,35.9
2018,KZAKT,5.1
2018,KZALM,14.8
2018,KZATY,5.9
2018,KZZAP,7.6
2018,KZZHA,8.0
2018,KZKAR,26.2
2018,KZKUS,8.7
2018,KZKZY,10.7
2018,KZMAN,25.1
2018,KZPAV,8.5
2018,KZSEV,14.8
2018,KZYUZ,10.3
2018,KZVOS,14.0
2018,KZNS,29.0
2018,KZALA,8.9
2018,KZSHY,19.6
2019,,13.7
2019,KZAKM,17.2
2019,KZAKT,4.9
2019,KZALM,25.4
2019,KZATY,17.8
2019,KZZAP,7.6
2019,KZZHA,11.8
2019,KZKAR,39.5
2019,KZKUS,26.6
2019,KZKZY,5.3
2019,KZMAN,4.9
2019,KZPAV,0.0
2019,KZSEV,0.0
2019,KZYUZ,9.3
2019,KZVOS,23.4
2019,KZNS,3.3
2019,KZALA,15.4
2019,KZSHY,7.1
