Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2010,TH_TNG,природного характера,,1249382.0
2010,TH_TNG,природного характера,KZAKM,20000.0
2010,TH_TNG,природного характера,KZAKT,5055.0
2010,TH_TNG,природного характера,KZALM,900.0
2010,TH_TNG,природного характера,KZATY,0.0
2010,TH_TNG,природного характера,KZZAP,0.0
2010,TH_TNG,природного характера,KZZHA,60.8
2010,TH_TNG,природного характера,KZKAR,11256.0
2010,TH_TNG,природного характера,KZKUS,20900.0
2010,TH_TNG,природного характера,KZKZY,4400.0
2010,TH_TNG,природного характера,KZMAN,44918.2
2010,TH_TNG,природного характера,KZPAV,75492.0
2010,TH_TNG,природного характера,KZSEV,0.0
2010,TH_TNG,природного характера,KZYUZ,61300.0
2010,TH_TNG,природного характера,KZVOS,1005100.0
2010,TH_TNG,природного характера,KZNS,0.0
2010,TH_TNG,природного характера,KZALA,0.0
2010,TH_TNG,природного характера,KZSHY,0.0
2010,TH_TNG,техногенного характера,,8334944.729999999
2010,TH_TNG,техногенного характера,KZAKM,4504.8
2010,TH_TNG,техногенного характера,KZAKT,0.0
2010,TH_TNG,техногенного характера,KZALM,7900000.0
2010,TH_TNG,техногенного характера,KZATY,0.0
2010,TH_TNG,техногенного характера,KZZAP,382700.63
2010,TH_TNG,техногенного характера,KZZHA,0.0
2010,TH_TNG,техногенного характера,KZKAR,0.0
2010,TH_TNG,техногенного характера,KZKUS,0.0
2010,TH_TNG,техногенного характера,KZKZY,0.0
2010,TH_TNG,техногенного характера,KZMAN,17139.3
2010,TH_TNG,техногенного характера,KZPAV,0.0
2010,TH_TNG,техногенного характера,KZSEV,0.0
2010,TH_TNG,техногенного характера,KZYUZ,0.0
2010,TH_TNG,техногенного характера,KZVOS,30600.0
2010,TH_TNG,техногенного характера,KZNS,0.0
2010,TH_TNG,техногенного характера,KZALA,0.0
2010,TH_TNG,техногенного характера,KZSHY,0.0
2011,TH_TNG,природного характера,,325575.2
2011,TH_TNG,природного характера,KZAKM,578.3
2011,TH_TNG,природного характера,KZAKT,0.0
2011,TH_TNG,природного характера,KZALM,280.0
2011,TH_TNG,природного характера,KZATY,0.0
2011,TH_TNG,природного характера,KZZAP,0.0
2011,TH_TNG,природного характера,KZZHA,64.9
2011,TH_TNG,природного характера,KZKAR,0.0
2011,TH_TNG,природного характера,KZKUS,0.0
2011,TH_TNG,природного характера,KZKZY,4500.0
2011,TH_TNG,природного характера,KZMAN,120853.4
2011,TH_TNG,природного характера,KZPAV,91298.6
2011,TH_TNG,природного характера,KZSEV,0.0
2011,TH_TNG,природного характера,KZYUZ,0.0
2011,TH_TNG,природного характера,KZVOS,108000.0
2011,TH_TNG,природного характера,KZNS,0.0
2011,TH_TNG,природного характера,KZALA,0.0
2011,TH_TNG,природного характера,KZSHY,0.0
2011,TH_TNG,техногенного характера,,949121.35
2011,TH_TNG,техногенного характера,KZAKM,0.0
2011,TH_TNG,техногенного характера,KZAKT,0.0
