Year,UNIT_MEASURE,Value
2010,PER_100000_POP,2.62
2011,PER_100000_POP,1.76
2012,PER_100000_POP,1.24
2013,PER_100000_POP,1.01
2014,PER_100000_POP,0.77
2015,PER_100000_POP,0.95
2016,PER_100000_POP,0.54
2017,PER_100000_POP,0.54
2018,PER_100000_POP,0.58
2019,PER_100000_POP,0.6
