Year,UNIT_MEASURE,URBANISATION,SEX,REF_AREA,Value
2010,PT,,,,23.4
2011,PT,,,,25.0
2012,PT,,,,27.8
2013,PT,,,,27.4
2014,PT,,,,32.4
2015,PT,,,,32.5
2016,PT,,,,34.6
2017,PT,,,,36.6
2018,PT,,,,40.0
2010,PT,,,KZAKM,27.3
2011,PT,,,KZAKM,30.0
2012,PT,,,KZAKM,34.3
2013,PT,,,KZAKM,33.0
2014,PT,,,KZAKM,36.2
2015,PT,,,KZAKM,41.9
2016,PT,,,KZAKM,42.6
2017,PT,,,KZAKM,41.9
2018,PT,,,KZAKM,42.5
2010,PT,,,KZAKT,30.8
2011,PT,,,KZAKT,34.1
2012,PT,,,KZAKT,40.3
2013,PT,,,KZAKT,36.8
2014,PT,,,KZAKT,53.2
2015,PT,,,KZAKT,46.6
2016,PT,,,KZAKT,50.3
2017,PT,,,KZAKT,48.6
2018,PT,,,KZAKT,52.2
2010,PT,,,KZALM,16.4
2011,PT,,,KZALM,19.7
2012,PT,,,KZALM,26.7
2013,PT,,,KZALM,19.9
2014,PT,,,KZALM,29.2
2015,PT,,,KZALM,25.8
2016,PT,,,KZALM,26.3
2017,PT,,,KZALM,27.9
2018,PT,,,KZALM,38.0
2010,PT,,,KZATY,32.9
2011,PT,,,KZATY,35.4
2012,PT,,,KZATY,26.7
2013,PT,,,KZATY,28.1
2014,PT,,,KZATY,30.3
2015,PT,,,KZATY,40.2
2016,PT,,,KZATY,32.0
2017,PT,,,KZATY,40.3
2018,PT,,,KZATY,33.9
2010,PT,,,KZZAP,25.3
2011,PT,,,KZZAP,28.9
2012,PT,,,KZZAP,41.4
2013,PT,,,KZZAP,47.3
2014,PT,,,KZZAP,34.9
2015,PT,,,KZZAP,37.7
2016,PT,,,KZZAP,39.8
2017,PT,,,KZZAP,45.6
2018,PT,,,KZZAP,50.6
2010,PT,,,KZZHA,18.8
2011,PT,,,KZZHA,22.3
2012,PT,,,KZZHA,24.1
2013,PT,,,KZZHA,37.6
2014,PT,,,KZZHA,23.6
2015,PT,,,KZZHA,25.6
2016,PT,,,KZZHA,31.3
2017,PT,,,KZZHA,25.0
2018,PT,,,KZZHA,31.0
2010,PT,,,KZKAR,28.0
2011,PT,,,KZKAR,28.6
2012,PT,,,KZKAR,29.6
