Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,Value
2010,PER_100000_POP,,,,20.71
2010,PER_100000_POP,KZAKM,,,19.75
2010,PER_100000_POP,KZAKT,,,14.66
2010,PER_100000_POP,KZALM,,,24.64
2010,PER_100000_POP,KZATY,,,3.8
2010,PER_100000_POP,KZZAP,,,14.35
2010,PER_100000_POP,KZZHA,,,31.43
2010,PER_100000_POP,KZKAR,,,20.3
2010,PER_100000_POP,KZKUS,,,11.67
2010,PER_100000_POP,KZKZY,,,20.72655200853243
2010,PER_100000_POP,KZMAN,,,21.8
2010,PER_100000_POP,KZONT,,,32.41
2010,PER_100000_POP,KZPAV,,,16.23
2010,PER_100000_POP,KZSEV,,,17.59
2010,PER_100000_POP,KZVOS,,,17.95
2010,PER_100000_POP,KZNS,,,14.41
2010,PER_100000_POP,KZALA,,,14.48
2010,PER_100000_POP,,U,,18.58
2010,PER_100000_POP,KZAKM,U,,20.74
2010,PER_100000_POP,KZAKT,U,,13.57
2010,PER_100000_POP,KZALM,U,,26.43
2010,PER_100000_POP,KZATY,U,,4.79
2010,PER_100000_POP,KZZAP,U,,12.9
2010,PER_100000_POP,KZZHA,U,,30.6
2010,PER_100000_POP,KZKAR,U,,19.58
2010,PER_100000_POP,KZKUS,U,,10.17
2010,PER_100000_POP,KZKZY,U,,17.4
2010,PER_100000_POP,KZMAN,U,,23.11
2010,PER_100000_POP,KZONT,U,,32.86
2010,PER_100000_POP,KZPAV,U,,13.32
2010,PER_100000_POP,KZSEV,U,,15.52
2010,PER_100000_POP,KZVOS,U,,15.75
2010,PER_100000_POP,KZNS,U,,14.41
2010,PER_100000_POP,KZALA,U,,14.48
2010,PER_100000_POP,,R,,23.27
2010,PER_100000_POP,KZAKM,R,,18.89
2010,PER_100000_POP,KZAKT,R,,16.4
2010,PER_100000_POP,KZALM,R,,24.09
2010,PER_100000_POP,KZATY,R,,2.9
2010,PER_100000_POP,KZZAP,R,,15.66
2010,PER_100000_POP,KZZHA,R,,31.99
2010,PER_100000_POP,KZKAR,R,,22.85
2010,PER_100000_POP,KZKUS,R,,13.17
2010,PER_100000_POP,KZKZY,R,,23.15
2010,PER_100000_POP,KZMAN,R,,20.33
2010,PER_100000_POP,KZONT,R,,32.12
2010,PER_100000_POP,KZPAV,R,,22.56
2010,PER_100000_POP,KZSEV,R,,19.0
2010,PER_100000_POP,KZVOS,R,,20.96
2010,PER_100000_POP,,,M,31.46
2010,PER_100000_POP,KZAKM,,M,27.98
2010,PER_100000_POP,KZAKT,,M,22.39
2010,PER_100000_POP,KZALM,,M,37.81
2010,PER_100000_POP,KZATY,,M,1.94
2010,PER_100000_POP,KZZAP,,M,19.84
2010,PER_100000_POP,KZZHA,,M,46.75
2010,PER_100000_POP,KZKAR,,M,31.07
2010,PER_100000_POP,KZKUS,,M,19.7
2010,PER_100000_POP,KZKZY,,M,29.76
2010,PER_100000_POP,KZMAN,,M,36.55
2010,PER_100000_POP,KZONT,,M,50.05
2010,PER_100000_POP,KZPAV,,M,22.25
2010,PER_100000_POP,KZSEV,,M,26.65
2010,PER_100000_POP,KZVOS,,M,29.37
2010,PER_100000_POP,KZNS,,M,20.13
2010,PER_100000_POP,KZALA,,M,20.39
2010,PER_100000_POP,,U,M,27.39
2010,PER_100000_POP,KZAKM,U,M,26.91
2010,PER_100000_POP,KZAKT,U,M,19.84
2010,PER_100000_POP,KZALM,U,M,38.76
2010,PER_100000_POP,KZATY,U,M,2.51
2010,PER_100000_POP,KZZAP,U,M,18.8
2010,PER_100000_POP,KZZHA,U,M,42.89
2010,PER_100000_POP,KZKAR,U,M,30.31
2010,PER_100000_POP,KZKUS,U,M,16.35
2010,PER_100000_POP,KZKZY,U,M,27.38
2010,PER_100000_POP,KZMAN,U,M,36.27
2010,PER_100000_POP,KZONT,U,M,50.06
2010,PER_100000_POP,KZPAV,U,M,17.9
2010,PER_100000_POP,KZSEV,U,M,19.47
2010,PER_100000_POP,KZVOS,U,M,25.12
2010,PER_100000_POP,KZNS,U,M,20.13
2010,PER_100000_POP,KZALA,U,M,20.39
2010,PER_100000_POP,,R,M,36.05
