Year,UNIT_MEASURE,EDUCATION_LEV,REF_AREA,Value
2018,PT,ISCED11_0,KZVOS,99.09847434119278
2018,PT,ISCED11_0,KZNS,97.50346740638004
2018,PT,ISCED11_0,KZALA,98.13805631244324
2018,PT,ISCED11_0,KZSHY,99.06481780070943
2018,PT,ISCED11_1,,100.0
2018,PT,ISCED11_3,,100.0
2019,PT,ISCED11_0,,97.47451367671718
2019,PT,ISCED11_0,KZAKM,99.89725147701002
2019,PT,ISCED11_0,KZAKT,97.68383179671687
2019,PT,ISCED11_0,KZALM,95.3003423591659
2019,PT,ISCED11_0,KZATY,97.62880562060889
2019,PT,ISCED11_0,KZZAP,99.90059642147118
2019,PT,ISCED11_0,KZZHA,96.98040948593312
2019,PT,ISCED11_0,KZKAR,98.15285544822912
2019,PT,ISCED11_0,KZKUS,98.04839968774397
2019,PT,ISCED11_0,KZKZY,98.07006162828417
2019,PT,ISCED11_0,KZMAN,95.72834173266138
2019,PT,ISCED11_0,KZPAV,99.97770345596432
2019,PT,ISCED11_0,KZSEV,98.95615866388307
2019,PT,ISCED11_0,KZYUZ,96.02968979763322
2019,PT,ISCED11_0,KZVOS,98.04188659969353
2019,PT,ISCED11_0,KZNS,97.58928571428572
2019,PT,ISCED11_0,KZALA,97.3487031700288
2019,PT,ISCED11_0,KZSHY,98.01368719746286
2019,PT,ISCED11_1,,100.0
2019,PT,ISCED11_3,,100.0
