Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,M_USD,_L_ODA_DNR,3.184537
2011,M_USD,_L_ODA_DNR,3.719071
2012,M_USD,_L_ODA_DNR,3.063886
2013,M_USD,_L_ODA_DNR,3.576984
2014,M_USD,_L_ODA_DNR,2.545952
2015,M_USD,_L_ODA_DNR,2.946629
2016,M_USD,_L_ODA_DNR,3.563592
2016,M_USD,_L_ODA_RCP,1.91
2017,M_USD,_L_ODA_DNR,4.701934
2017,M_USD,_L_ODA_RCP,0.049169
