Year,UNIT_MEASURE,REF_AREA,Value
2010,TH_PEOPLE,,27532.0
2010,TH_PEOPLE,KZAKM,3780.0
2010,TH_PEOPLE,KZAKT,3033.0
2010,TH_PEOPLE,KZALM,1516.0
2010,TH_PEOPLE,KZATY,1536.0
2010,TH_PEOPLE,KZZAP,1034.0
2010,TH_PEOPLE,KZZHA,2805.0
2010,TH_PEOPLE,KZKAR,2163.0
2010,TH_PEOPLE,KZKUS,1300.0
2010,TH_PEOPLE,KZKZY,347.0
2010,TH_PEOPLE,KZMAN,1633.0
2010,TH_PEOPLE,KZONT,2105.0
2010,TH_PEOPLE,KZPAV,2513.0
2010,TH_PEOPLE,KZSEV,935.0
2010,TH_PEOPLE,KZVOS,1839.0
2010,TH_PEOPLE,KZNS,466.0
2010,TH_PEOPLE,KZALA,527.0
2011,TH_PEOPLE,,26298.0
2011,TH_PEOPLE,KZAKM,1870.0
2011,TH_PEOPLE,KZAKT,2809.0
2011,TH_PEOPLE,KZALM,2746.0
2011,TH_PEOPLE,KZATY,1198.0
2011,TH_PEOPLE,KZZAP,784.0
2011,TH_PEOPLE,KZZHA,2125.0
2011,TH_PEOPLE,KZKAR,1933.0
2011,TH_PEOPLE,KZKUS,1881.0
2011,TH_PEOPLE,KZKZY,767.0
2011,TH_PEOPLE,KZMAN,2260.0
2011,TH_PEOPLE,KZONT,1628.0
2011,TH_PEOPLE,KZPAV,1278.0
2011,TH_PEOPLE,KZSEV,561.0
2011,TH_PEOPLE,KZVOS,1293.0
2011,TH_PEOPLE,KZNS,1059.0
2011,TH_PEOPLE,KZALA,2106.0
2012,TH_PEOPLE,,20615.0
2012,TH_PEOPLE,KZAKM,1090.0
2012,TH_PEOPLE,KZAKT,987.0
2012,TH_PEOPLE,KZALM,2261.0
2012,TH_PEOPLE,KZATY,695.0
2012,TH_PEOPLE,KZZAP,756.0
2012,TH_PEOPLE,KZZHA,430.0
2012,TH_PEOPLE,KZKAR,1610.0
2012,TH_PEOPLE,KZKUS,1528.0
2012,TH_PEOPLE,KZKZY,315.0
2012,TH_PEOPLE,KZMAN,1962.0
2012,TH_PEOPLE,KZONT,2158.0
2012,TH_PEOPLE,KZPAV,1432.0
2012,TH_PEOPLE,KZSEV,417.0
2012,TH_PEOPLE,KZVOS,2042.0
2012,TH_PEOPLE,KZNS,1328.0
2012,TH_PEOPLE,KZALA,1604.0
2013,TH_PEOPLE,,20909.0
2013,TH_PEOPLE,KZAKM,1033.0
2013,TH_PEOPLE,KZAKT,1455.0
2013,TH_PEOPLE,KZALM,2539.0
2013,TH_PEOPLE,KZATY,580.0
2013,TH_PEOPLE,KZZAP,601.0
2013,TH_PEOPLE,KZZHA,838.0
2013,TH_PEOPLE,KZKAR,1561.0
2013,TH_PEOPLE,KZKUS,1544.0
2013,TH_PEOPLE,KZKZY,95.0
2013,TH_PEOPLE,KZMAN,819.0
2013,TH_PEOPLE,KZONT,3652.0
2013,TH_PEOPLE,KZPAV,1257.0
2013,TH_PEOPLE,KZSEV,358.0
2013,TH_PEOPLE,KZVOS,1878.0
2013,TH_PEOPLE,KZNS,1165.0
2013,TH_PEOPLE,KZALA,1534.0
2014,TH_PEOPLE,,21695.0
2014,TH_PEOPLE,KZAKM,1446.0
2014,TH_PEOPLE,KZAKT,1197.0
2014,TH_PEOPLE,KZALM,2020.0
2014,TH_PEOPLE,KZATY,967.0
2014,TH_PEOPLE,KZZAP,913.0
2014,TH_PEOPLE,KZZHA,1593.0
2014,TH_PEOPLE,KZKAR,1637.0
2014,TH_PEOPLE,KZKUS,955.0
2014,TH_PEOPLE,KZKZY,1023.0
2014,TH_PEOPLE,KZMAN,1115.0
2014,TH_PEOPLE,KZONT,3689.0
2014,TH_PEOPLE,KZPAV,1589.0
2014,TH_PEOPLE,KZSEV,635.0
2014,TH_PEOPLE,KZVOS,2044.0
2014,TH_PEOPLE,KZNS,552.0
2014,TH_PEOPLE,KZALA,320.0
2015,TH_PEOPLE,,21497.0
2015,TH_PEOPLE,KZAKM,1971.0
2015,TH_PEOPLE,KZAKT,2092.0
2015,TH_PEOPLE,KZALM,1709.0
2015,TH_PEOPLE,KZATY,980.0
2015,TH_PEOPLE,KZZAP,873.0
2015,TH_PEOPLE,KZZHA,1215.0
2015,TH_PEOPLE,KZKAR,1549.0
2015,TH_PEOPLE,KZKUS,626.0
2015,TH_PEOPLE,KZKZY,953.0
2015,TH_PEOPLE,KZMAN,983.0
2015,TH_PEOPLE,KZONT,2931.0
2015,TH_PEOPLE,KZPAV,2192.0
2015,TH_PEOPLE,KZSEV,937.0
2015,TH_PEOPLE,KZVOS,1452.0
2015,TH_PEOPLE,KZNS,565.0
2015,TH_PEOPLE,KZALA,469.0
2016,TH_PEOPLE,,22102.0
2016,TH_PEOPLE,KZAKM,1902.0
2016,TH_PEOPLE,KZAKT,1154.0
2016,TH_PEOPLE,KZALM,1650.0
2016,TH_PEOPLE,KZATY,1435.0
2016,TH_PEOPLE,KZZAP,1028.0
2016,TH_PEOPLE,KZZHA,1146.0
2016,TH_PEOPLE,KZKAR,2098.0
2016,TH_PEOPLE,KZKUS,497.0
2016,TH_PEOPLE,KZKZY,679.0
2016,TH_PEOPLE,KZMAN,883.0
2016,TH_PEOPLE,KZONT,1908.0
2016,TH_PEOPLE,KZPAV,1324.0
2016,TH_PEOPLE,KZSEV,869.0
2016,TH_PEOPLE,KZVOS,1049.0
2016,TH_PEOPLE,KZNS,494.0
2016,TH_PEOPLE,KZALA,3986.0
2017,TH_PEOPLE,,17902.0
2017,TH_PEOPLE,KZAKM,1819.0
2017,TH_PEOPLE,KZAKT,746.0
2017,TH_PEOPLE,KZALM,1270.0
2017,TH_PEOPLE,KZATY,744.0
2017,TH_PEOPLE,KZZAP,1036.0
2017,TH_PEOPLE,KZZHA,1416.0
2017,TH_PEOPLE,KZKAR,601.0
2017,TH_PEOPLE,KZKUS,394.0
2017,TH_PEOPLE,KZKZY,145.0
2017,TH_PEOPLE,KZMAN,853.0
2017,TH_PEOPLE,KZONT,2860.0
2017,TH_PEOPLE,KZPAV,1055.0
2017,TH_PEOPLE,KZSEV,380.0
2017,TH_PEOPLE,KZVOS,3278.0
2017,TH_PEOPLE,KZNS,230.0
2017,TH_PEOPLE,KZALA,1075.0
2018,TH_PEOPLE,,16793.0
2018,TH_PEOPLE,KZAKM,1546.0
2018,TH_PEOPLE,KZAKT,538.0
2018,TH_PEOPLE,KZALM,866.0
2018,TH_PEOPLE,KZATY,362.0
2018,TH_PEOPLE,KZZAP,497.0
2018,TH_PEOPLE,KZZHA,1091.0
2018,TH_PEOPLE,KZKAR,989.0
2018,TH_PEOPLE,KZKUS,378.0
2018,TH_PEOPLE,KZKZY,486.0
2018,TH_PEOPLE,KZMAN,120.0
2018,TH_PEOPLE,KZPAV,1436.0
2018,TH_PEOPLE,KZSEV,162.0
2018,TH_PEOPLE,KZYUZ,1135.0
2018,TH_PEOPLE,KZVOS,1676.0
2018,TH_PEOPLE,KZNS,91.0
2018,TH_PEOPLE,KZALA,4100.0
2018,TH_PEOPLE,KZSHY,1320.0
