Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,UNITS,_L_PRSP_TP,387
2010,UNITS,_L_PRSP_TA,224
2011,UNITS,_L_PRSP_TP,387
2011,UNITS,_L_PRSP_TA,224
2012,UNITS,_L_PRSP_TP,387
2012,UNITS,_L_PRSP_TA,224
2013,UNITS,_L_PRSP_TP,387
2013,UNITS,_L_PRSP_TA,224
2014,UNITS,_L_PRSP_TP,387
2014,UNITS,_L_PRSP_TA,224
2015,UNITS,_L_PRSP_TP,387
2015,UNITS,_L_PRSP_TA,224
2016,UNITS,_L_PRSP_TP,387
2016,UNITS,_L_PRSP_TA,224
2017,UNITS,_L_PRSP_TP,387
2017,UNITS,_L_PRSP_TA,224
2018,UNITS,_L_PRSP_TP,387
2018,UNITS,_L_PRSP_TA,224
2019,UNITS,_L_PRSP_TP,387
2019,UNITS,_L_PRSP_TA,224
