Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,Value
2010,PT,,,,0.9
2010,PT,KZAKM,,,0.2
2010,PT,KZAKT,,,0.6
2010,PT,KZALM,,,1.1
2010,PT,KZATY,,,0.2
2010,PT,KZZAP,,,1.2
2010,PT,KZZHA,,,1.2
2010,PT,KZKAR,,,0.8
2010,PT,KZKUS,,,3.3
2010,PT,KZKZY,,,0.6
2010,PT,KZMAN,,,1.0
2010,PT,KZONT,,,1.1
2010,PT,KZPAV,,,1.3
2010,PT,KZSEV,,,0.8
2010,PT,KZVOS,,,0.2
2010,PT,KZNS,,,0.1
2010,PT,KZALA,,,0.0
2010,PT,,,M,0.9
2010,PT,KZAKM,,M,0.3
2010,PT,KZAKT,,M,0.4
2010,PT,KZALM,,M,1.5
2010,PT,KZATY,,M,0.2
2010,PT,KZZAP,,M,1.4
2010,PT,KZZHA,,M,1.6
2010,PT,KZKAR,,M,0.6
2010,PT,KZKUS,,M,2.6
2010,PT,KZKZY,,M,0.7
2010,PT,KZMAN,,M,0.9
2010,PT,KZONT,,M,1.1
2010,PT,KZPAV,,M,1.9
2010,PT,KZSEV,,M,0.7
2010,PT,KZVOS,,M,0.1
2010,PT,KZNS,,M,0.0
2010,PT,KZALA,,M,0.0
2010,PT,,,F,0.8
2010,PT,KZAKM,,F,0.1
2010,PT,KZAKT,,F,0.7
2010,PT,KZALM,,F,0.6
2010,PT,KZATY,,F,0.2
2010,PT,KZZAP,,F,1.0
2010,PT,KZZHA,,F,0.9
2010,PT,KZKAR,,F,1.0
2010,PT,KZKUS,,F,3.9
2010,PT,KZKZY,,F,0.5
2010,PT,KZMAN,,F,1.1
2010,PT,KZONT,,F,1.0
2010,PT,KZPAV,,F,0.7
2010,PT,KZSEV,,F,0.8
2010,PT,KZVOS,,F,0.2
2010,PT,KZNS,,F,0.2
2010,PT,KZALA,,F,0.1
2010,PT,,U,,0.3
2010,PT,KZAKM,U,,0.0
2010,PT,KZAKT,U,,0.1
2010,PT,KZALM,U,,0.1
2010,PT,KZATY,U,,0.0
2010,PT,KZZAP,U,,0.0
2010,PT,KZZHA,U,,0.4
2010,PT,KZKAR,U,,0.1
2010,PT,KZKUS,U,,1.3
2010,PT,KZKZY,U,,0.7
2010,PT,KZMAN,U,,1.3
2010,PT,KZONT,U,,1.0
2010,PT,KZPAV,U,,0.0
2010,PT,KZSEV,U,,0.0
2010,PT,KZVOS,U,,0.1
2010,PT,KZNS,U,,0.1
2010,PT,KZALA,U,,0.0
2010,PT,,R,,1.5
2010,PT,KZAKM,R,,0.3
2010,PT,KZAKT,R,,1.1
