Year,UNIT_MEASURE,SERIES,Value
2010,TH_PEOPLE,SI_COV_MATNL,4598.0
2010,TH_PEOPLE,SI_COV_UEMP,16.5
2010,TH_PEOPLE,государственная базовая пенсионная выплата,1702.9
2010,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,1677.2
2010,TH_PEOPLE,_L_KZ_010301_1A,194.5
2011,TH_PEOPLE,SI_COV_MATNL,545.0
2011,TH_PEOPLE,SI_COV_UEMP,17.4
2011,TH_PEOPLE,государственная базовая пенсионная выплата,1740.0
2011,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,1713.0
2011,TH_PEOPLE,_L_KZ_010301_1A,139.3
2012,TH_PEOPLE,SI_COV_MATNL,529.1
2012,TH_PEOPLE,SI_COV_UEMP,14.4
2012,TH_PEOPLE,государственная базовая пенсионная выплата,1780.8
2012,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,1753.2
2012,TH_PEOPLE,_L_KZ_010301_1A,97.3
2013,TH_PEOPLE,SI_COV_MATNL,551.0
2013,TH_PEOPLE,SI_COV_UEMP,18.8
2013,TH_PEOPLE,государственная базовая пенсионная выплата,1840.5
2013,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,1810.5
2013,TH_PEOPLE,_L_KZ_010301_1A,60.7
2014,TH_PEOPLE,SI_COV_MATNL,591.3
2014,TH_PEOPLE,SI_COV_UEMP,18.3
2014,TH_PEOPLE,государственная базовая пенсионная выплата,1914.8
2014,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,1883.3
2014,TH_PEOPLE,_L_KZ_010301_1A,56.1
2015,TH_PEOPLE,SI_COV_MATNL,541.4
2015,TH_PEOPLE,SI_COV_UEMP,26.1
2015,TH_PEOPLE,государственная базовая пенсионная выплата,1977.6
2015,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,1943.4
2015,TH_PEOPLE,_L_KZ_010301_1A,38.2
2016,TH_PEOPLE,SI_COV_MATNL,581.5
2016,TH_PEOPLE,SI_COV_UEMP,32.9
2016,TH_PEOPLE,государственная базовая пенсионная выплата,2040.9
2016,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,2013.3
2016,TH_PEOPLE,_L_KZ_010301_1A,28.8
2017,TH_PEOPLE,SI_COV_MATNL,538.5
2017,TH_PEOPLE,SI_COV_UEMP,35.8
2017,TH_PEOPLE,государственная базовая пенсионная выплата,2112.8
2017,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,2095.0
2017,TH_PEOPLE,_L_KZ_010301_1A,23.3
2018,TH_PEOPLE,SI_COV_MATNL,520.5
2018,TH_PEOPLE,SI_COV_UEMP,47.7
2018,TH_PEOPLE,государственная базовая пенсионная выплата,2154.0
2018,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,2152.3
2018,TH_PEOPLE,_L_KZ_010301_1A,571.6
2019,TH_PEOPLE,SI_COV_MATNL,538.5
2019,TH_PEOPLE,SI_COV_UEMP,63.9
2019,TH_PEOPLE,государственная базовая пенсионная выплата,2179.6
2019,TH_PEOPLE,пенсионные выплаты по возрасту и за выслугу лет,2196.2
2019,TH_PEOPLE,_L_KZ_010301_1A,2177.2
