Year,UNIT_MEASURE,SERIES,Value
2010,PT,SG_GEN_LOCG,17.8
2011,PT,SG_GEN_LOCG,17.8
2011,PT,SG_GEN_PARL,16.94
2012,PT,SG_GEN_LOCG,23.8
2012,PT,SG_GEN_PARL,17.0
2013,PT,SG_GEN_LOCG,26.2
2013,PT,SG_GEN_PARL,18.17
2014,PT,SG_GEN_LOCG,26.2
2014,PT,SG_GEN_PARL,18.41
2015,PT,SG_GEN_LOCG,26.7
2015,PT,SG_GEN_PARL,18.8
2016,PT,SG_GEN_LOCG,27.6
2016,PT,SG_GEN_PARL,22.158920539730133
2017,PT,SG_GEN_LOCG,27.4
2017,PT,SG_GEN_PARL,22.09895052473763
2018,PT,SG_GEN_LOCG,27.4
2018,PT,SG_GEN_PARL,22.19
2019,PT,SG_GEN_LOCG,27.4
2019,PT,SG_GEN_PARL,22.2
