Year,UNIT_MEASURE,URBANISATION,SEX,REF_AREA,Value
2017,PT,U,M,,89.74279506982195
2017,PT,U,F,,89.57258265050886
2017,PT,R,,,82.9638900638297
2017,PT,R,M,,83.87658175256642
2017,PT,R,F,,82.05304593519199
2017,PT,,,KZAKM,84.7256538473744
2017,PT,,M,KZAKM,84.82758403981876
2017,PT,,F,KZAKM,84.63121733940814
2017,PT,U,,KZAKM,87.76581669861308
2017,PT,U,M,KZAKM,88.28540964077202
2017,PT,U,F,KZAKM,87.31502267488285
2017,PT,R,,KZAKM,82.04795889075525
2017,PT,R,M,KZAKM,81.97130487920336
2017,PT,R,F,KZAKM,82.12319605772616
2017,PT,,,KZAKT,89.46883514698168
2017,PT,,M,KZAKT,89.77342955612218
2017,PT,,F,KZAKT,89.18916111339071
2017,PT,U,,KZAKT,91.93557597103094
2017,PT,U,M,KZAKT,91.83631560124137
2017,PT,U,F,KZAKT,92.02252368786988
2017,PT,R,,KZAKT,85.29892798991735
2017,PT,R,M,KZAKT,86.50708403662217
2017,PT,R,F,KZAKT,84.09794151401137
2017,PT,,,KZALM,89.26621643304112
2017,PT,,M,KZALM,89.78675244859716
2017,PT,,F,KZALM,88.76502610833742
2017,PT,U,,KZALM,86.33263414896504
2017,PT,U,M,KZALM,85.18087708095419
2017,PT,U,F,KZALM,87.36247074097591
2017,PT,R,,KZALM,90.1585673428965
2017,PT,R,M,KZALM,91.11974737397456
2017,PT,R,F,KZALM,89.21206537867604
2017,PT,,,KZATY,87.72917290184303
2017,PT,,M,KZATY,86.96690900173247
2017,PT,,F,KZATY,88.45618442942994
2017,PT,U,,KZATY,93.56094663482467
2017,PT,U,M,KZATY,94.5085835618558
2017,PT,U,F,KZATY,92.70950799412992
2017,PT,R,,KZATY,82.4610985747782
2017,PT,R,M,KZATY,80.53937622260808
2017,PT,R,F,KZATY,84.3953483227267
2017,PT,,,KZZAP,90.73639465648452
2017,PT,,M,KZZAP,91.0731313724052
2017,PT,,F,KZZAP,90.42639755013016
2017,PT,U,,KZZAP,97.34211134130902
2017,PT,U,M,KZZAP,97.27474972191324
2017,PT,U,F,KZZAP,97.39854783371898
2017,PT,R,,KZZAP,83.9662184410291
2017,PT,R,M,KZZAP,85.31674752132159
2017,PT,R,F,KZZAP,82.5973988739683
2017,PT,,,KZZHA,81.85131256680667
2017,PT,,M,KZZHA,81.98561678544858
2017,PT,,F,KZZHA,81.72336364887657
2017,PT,U,,KZZHA,84.21105210578895
2017,PT,U,M,KZZHA,83.53510827918204
2017,PT,U,F,KZZHA,84.80636827727717
2017,PT,R,,KZZHA,80.27692221341323
2017,PT,R,M,KZZHA,81.01923093756291
2017,PT,R,F,KZZHA,79.53176705041712
2017,PT,,,KZKAR,86.20339706649632
2017,PT,,M,KZKAR,86.72458846507807
2017,PT,,F,KZKAR,85.74195629482884
2017,PT,U,,KZKAR,87.7708795277273
2017,PT,U,M,KZKAR,88.3676082630093
2017,PT,U,F,KZKAR,87.26142394401842
2017,PT,R,,KZKAR,80.12130521257951
2017,PT,R,M,KZKAR,80.90695197181284
2017,PT,R,F,KZKAR,79.32077782151136
2017,PT,,,KZKUS,93.10467027440438
2017,PT,,M,KZKUS,93.91385408239066
2017,PT,,F,KZKUS,92.38607928355064
2017,PT,U,,KZKUS,95.42146514982473
2017,PT,U,M,KZKUS,95.93033725207728
2017,PT,U,F,KZKUS,94.99891057765018
2017,PT,R,,KZKUS,90.45335256525831
2017,PT,R,M,KZKUS,91.77492721234891
2017,PT,R,F,KZKUS,89.18640361203104
2017,PT,,,KZKZY,83.05673595957276
2017,PT,,M,KZKZY,82.83013197081888
2017,PT,,F,KZKZY,83.28132851498913
2017,PT,U,,KZKZY,88.67069041150044
2017,PT,U,M,KZKZY,89.00939493468675
2017,PT,U,F,KZKZY,88.35288186859351
2017,PT,R,,KZKZY,78.7207002347597
2017,PT,R,M,KZKZY,78.28519793776954
