Year,UNIT_MEASURE,URBANISATION,Value
2011,PT,,3.0
2011,PT,U,3.0
2011,PT,R,3.0
2012,PT,,1.8
2012,PT,U,2.8
2012,PT,R,0.9
2013,PT,,1.2
2013,PT,U,1.8
2013,PT,R,0.8
2014,PT,,1.3
2014,PT,U,1.8
2014,PT,R,0.8
2015,PT,,3.1
2015,PT,U,3.2
2015,PT,R,2.5
2016,PT,,4.5
2016,PT,U,4.6
2016,PT,R,3.7
2017,PT,,3.6
2017,PT,U,3.5
2017,PT,R,3.0
2018,PT,,4.6
2018,PT,U,4.5
2018,PT,R,3.7
2019,PT,,4.1
2019,PT,U,4.1
2019,PT,R,3.1
