Year,UNIT_MEASURE,Value
2010,PT,59.2
2011,PT,73.2
2012,PT,85.7
2013,PT,91.5
2014,PT,96.0
2015,PT,97.99
2016,PT,100.0
2017,PT,100.0
2018,PT,100.0
2019,PT,100.0
