Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2010,PT,_L_PRSP_BCR_DR,418
2010,PT,_L_PRSP_GTRG,16154
2010,PT,_L_PRSP_ONGR,2477
2010,PT,_L_PRSP_ARG,13246
2011,PT,_L_PRSP_BCR_DR,421
2011,PT,_L_PRSP_GTRG,1210
2011,PT,_L_PRSP_ONGR,2500
2011,PT,_L_PRSP_ARG,13597
2012,PT,_L_PRSP_BCR_DR,451
2012,PT,_L_PRSP_GTRG,1263
2012,PT,_L_PRSP_ONGR,2920
2012,PT,_L_PRSP_ARG,13872
2013,PT,_L_PRSP_BCR_DR,465
2013,PT,_L_PRSP_GTRG,12888
2013,PT,_L_PRSP_ONGR,3222
2013,PT,_L_PRSP_ARG,14525
2014,PT,_L_PRSP_BCR_DR,481
2014,PT,_L_PRSP_GTRG,12994
2014,PT,_L_PRSP_ONGR,3420
2014,PT,_L_PRSP_ARG,14737
2015,PT,_L_PRSP_BCR_DR,503
2015,PT,_L_PRSP_GTRG,13197
2015,PT,_L_PRSP_ONGR,3595
2015,PT,_L_PRSP_ARG,15710
2016,PT,_L_PRSP_BCR_DR,716
2016,PT,_L_PRSP_GTRG,13218
2016,PT,_L_PRSP_ONGR,3807
2016,PT,_L_PRSP_ARG,15979
2017,PT,_L_PRSP_BCR_DR,825
2017,PT,_L_PRSP_GTRG,13727
2017,PT,_L_PRSP_ONGR,3984
2017,PT,_L_PRSP_ARG,16802
2018,PT,_L_PRSP_BCR_DR,856
2018,PT,_L_PRSP_GTRG,14055
2018,PT,_L_PRSP_ONGR,4103
2018,PT,_L_PRSP_ARG,16980
2019,PT,_L_PRSP_BCR_DR,878
2019,PT,_L_PRSP_GTRG,14391
2019,PT,_L_PRSP_ONGR,4197
2019,PT,_L_PRSP_ARG,17954
