Year,UNIT_MEASURE,REF_AREA,Value
2010,PERSONS,,107786.0
2010,PERSONS,KZAKM,1423.0
2010,PERSONS,KZAKT,5642.0
2010,PERSONS,KZALM,3869.0
2010,PERSONS,KZATY,1558.0
2010,PERSONS,KZZAP,3019.0
2010,PERSONS,KZKAR,9640.0
2010,PERSONS,KZKUS,6198.0
2010,PERSONS,KZKZY,10565.0
2010,PERSONS,KZMAN,15848.0
2010,PERSONS,KZONT,8500.0
2010,PERSONS,KZPAV,1040.0
2010,PERSONS,KZSEV,497.0
2010,PERSONS,KZVOS,25021.0
2010,PERSONS,KZNS,3.0
2010,PERSONS,KZALA,16347.0
2011,PERSONS,,134568.0
2011,PERSONS,KZAKM,1192.0
2011,PERSONS,KZAKT,2221.0
2011,PERSONS,KZALM,3475.0
2011,PERSONS,KZATY,1720.0
2011,PERSONS,KZZAP,3059.0
2011,PERSONS,KZZHA,286.0
2011,PERSONS,KZKAR,9270.0
2011,PERSONS,KZKUS,6106.0
2011,PERSONS,KZKZY,12262.0
2011,PERSONS,KZMAN,16563.0
2011,PERSONS,KZONT,1638.0
2011,PERSONS,KZPAV,857.0
2011,PERSONS,KZSEV,3381.0
2011,PERSONS,KZVOS,25250.0
2011,PERSONS,KZNS,6545.0
2011,PERSONS,KZALA,40743.0
2012,PERSONS,,114150.0
2012,PERSONS,KZAKM,786.0
2012,PERSONS,KZAKT,2229.0
2012,PERSONS,KZALM,2680.0
2012,PERSONS,KZATY,2802.0
2012,PERSONS,KZZAP,2698.0
2012,PERSONS,KZZHA,534.0
2012,PERSONS,KZKAR,7768.0
2012,PERSONS,KZKUS,5938.0
2012,PERSONS,KZKZY,1262.0
2012,PERSONS,KZMAN,16012.0
2012,PERSONS,KZONT,874.0
2012,PERSONS,KZPAV,826.0
2012,PERSONS,KZSEV,3586.0
2012,PERSONS,KZVOS,16438.0
2012,PERSONS,KZNS,6791.0
2012,PERSONS,KZALA,42926.0
2013,PERSONS,,111466.0
2013,PERSONS,KZAKM,581.0
2013,PERSONS,KZAKT,2172.0
2013,PERSONS,KZALM,2287.0
2013,PERSONS,KZATY,2818.0
2013,PERSONS,KZZAP,2643.0
2013,PERSONS,KZZHA,679.0
2013,PERSONS,KZKAR,7451.0
2013,PERSONS,KZKUS,5947.0
2013,PERSONS,KZKZY,1117.0
2013,PERSONS,KZMAN,15653.0
2013,PERSONS,KZONT,898.0
2013,PERSONS,KZPAV,810.0
2013,PERSONS,KZSEV,3915.0
2013,PERSONS,KZVOS,13382.0
2013,PERSONS,KZNS,6918.0
2013,PERSONS,KZALA,44195.0
2014,PERSONS,,120609.0
2014,PERSONS,KZAKM,595.0
2014,PERSONS,KZAKT,1047.0
2014,PERSONS,KZALM,1908.0
2014,PERSONS,KZATY,2760.0
2014,PERSONS,KZZAP,2580.0
2014,PERSONS,KZZHA,3561.0
2014,PERSONS,KZKAR,7919.0
2014,PERSONS,KZKUS,5847.0
2014,PERSONS,KZKZY,1195.0
2014,PERSONS,KZMAN,15743.0
2014,PERSONS,KZONT,521.0
2014,PERSONS,KZPAV,802.0
2014,PERSONS,KZSEV,3946.0
2014,PERSONS,KZVOS,13508.0
2014,PERSONS,KZNS,9393.0
2014,PERSONS,KZALA,49284.0
2015,PERSONS,,108673.0
2015,PERSONS,KZAKM,1586.0
2015,PERSONS,KZAKT,1182.0
2015,PERSONS,KZALM,1607.0
2015,PERSONS,KZATY,3124.0
2015,PERSONS,KZZAP,2414.0
2015,PERSONS,KZZHA,3376.0
2015,PERSONS,KZKAR,7120.0
2015,PERSONS,KZKUS,6202.0
2015,PERSONS,KZKZY,1338.0
2015,PERSONS,KZMAN,13938.0
2015,PERSONS,KZONT,585.0
2015,PERSONS,KZPAV,784.0
2015,PERSONS,KZSEV,1239.0
2015,PERSONS,KZVOS,6051.0
2015,PERSONS,KZNS,7881.0
2015,PERSONS,KZALA,50246.0
2016,PERSONS,,77947.0
2016,PERSONS,KZAKM,371.0
2016,PERSONS,KZAKT,451.0
2016,PERSONS,KZALM,1686.0
2016,PERSONS,KZATY,1309.0
2016,PERSONS,KZZAP,2633.0
2016,PERSONS,KZZHA,3.0
2016,PERSONS,KZKAR,1678.0
2016,PERSONS,KZKUS,3731.0
2016,PERSONS,KZKZY,1332.0
2016,PERSONS,KZMAN,426.0
2016,PERSONS,KZONT,340.0
2016,PERSONS,KZPAV,775.0
2016,PERSONS,KZSEV,1347.0
2016,PERSONS,KZVOS,2265.0
2016,PERSONS,KZNS,9686.0
2016,PERSONS,KZALA,49914.0
2017,PERSONS,,68392.0
2017,PERSONS,KZAKM,389.0
2017,PERSONS,KZAKT,384.0
2017,PERSONS,KZALM,1763.0
2017,PERSONS,KZATY,1462.0
2017,PERSONS,KZZAP,1679.0
2017,PERSONS,KZZHA,2.0
2017,PERSONS,KZKAR,1713.0
2017,PERSONS,KZKUS,2431.0
2017,PERSONS,KZKZY,102.0
2017,PERSONS,KZMAN,231.0
2017,PERSONS,KZONT,346.0
2017,PERSONS,KZPAV,844.0
2017,PERSONS,KZSEV,1379.0
2017,PERSONS,KZVOS,2320.0
2017,PERSONS,KZNS,4513.0
2017,PERSONS,KZALA,48834.0
2018,PERSONS,,69510.0
2018,PERSONS,KZAKM,417.0
2018,PERSONS,KZAKT,414.0
2018,PERSONS,KZALM,1838.0
2018,PERSONS,KZATY,1887.0
2018,PERSONS,KZZAP,1809.0
2018,PERSONS,KZKAR,1229.0
2018,PERSONS,KZKUS,2432.0
2018,PERSONS,KZKZY,295.0
2018,PERSONS,KZMAN,231.0
2018,PERSONS,KZPAV,951.0
2018,PERSONS,KZSEV,1209.0
2018,PERSONS,KZYUZ,326.0
2018,PERSONS,KZVOS,2246.0
2018,PERSONS,KZNS,5324.0
2018,PERSONS,KZALA,48779.0
2018,PERSONS,KZSHY,123.0
2019,PERSONS,,69389.0
2019,PERSONS,KZAKM,480.0
2019,PERSONS,KZAKT,1108.0
2019,PERSONS,KZALM,2438.0
2019,PERSONS,KZATY,1897.0
2019,PERSONS,KZZAP,1880.0
2019,PERSONS,KZKAR,1251.0
2019,PERSONS,KZKUS,0.0
2019,PERSONS,KZKZY,343.0
2019,PERSONS,KZMAN,216.0
2019,PERSONS,KZPAV,985.0
2019,PERSONS,KZSEV,1383.0
2019,PERSONS,KZYUZ,303.0
2019,PERSONS,KZVOS,2114.0
2019,PERSONS,KZNS,5278.0
2019,PERSONS,KZALA,49589.0
2019,PERSONS,KZSHY,124.0
