Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZHA,31.0
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKAR,101.5
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKUS,79.3
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKZY,21.7
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZMAN,29.9
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZONT,1.0
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZPAV,50.0
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZSEV,33.8
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZVOS,66.4
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZNS,79.0
2013,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALA,176.2
2013,TH_UNITS,выше 10 Мбит/сек,KZAKM,11.6
2013,TH_UNITS,выше 10 Мбит/сек,KZAKT,9.5
2013,TH_UNITS,выше 10 Мбит/сек,KZALM,12.1
2013,TH_UNITS,выше 10 Мбит/сек,KZATY,11.4
2013,TH_UNITS,выше 10 Мбит/сек,KZZAP,7.4
2013,TH_UNITS,выше 10 Мбит/сек,KZZHA,9.9
2013,TH_UNITS,выше 10 Мбит/сек,KZKAR,36.3
2013,TH_UNITS,выше 10 Мбит/сек,KZKUS,5.6
2013,TH_UNITS,выше 10 Мбит/сек,KZKZY,5.1
2013,TH_UNITS,выше 10 Мбит/сек,KZMAN,11.1
2013,TH_UNITS,выше 10 Мбит/сек,KZONT,79.7
2013,TH_UNITS,выше 10 Мбит/сек,KZPAV,17.7
2013,TH_UNITS,выше 10 Мбит/сек,KZSEV,5.4
2013,TH_UNITS,выше 10 Мбит/сек,KZVOS,17.0
2013,TH_UNITS,выше 10 Мбит/сек,KZNS,27.1
2013,TH_UNITS,выше 10 Мбит/сек,KZALA,396.5
2014,TH_UNITS,,,2093.2
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,,264.2
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKM,16.4
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKT,9.8
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALM,12.4
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZATY,7.1
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZAP,10.2
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZHA,12.9
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKAR,15.6
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKUS,15.6
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKZY,11.7
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZMAN,5.3
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZONT,13.2
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZPAV,15.6
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZSEV,22.4
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZVOS,12.8
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZNS,40.5
2014,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALA,42.6
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,,881.4
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKM,52.3
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKT,45.8
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALM,76.9
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZATY,44.7
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZAP,21.5
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZHA,30.1
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKAR,86.9
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKUS,64.5
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKZY,20.9
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZMAN,26.8
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZONT,47.9
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZPAV,49.8
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZSEV,37.5
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZVOS,65.2
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZNS,44.6
2014,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALA,165.8
2014,TH_UNITS,выше 10 Мбит/сек,KZAKM,16.8
2014,TH_UNITS,выше 10 Мбит/сек,KZAKT,16.7
2014,TH_UNITS,выше 10 Мбит/сек,KZALM,22.5
2014,TH_UNITS,выше 10 Мбит/сек,KZATY,18.3
2014,TH_UNITS,выше 10 Мбит/сек,KZZAP,12.2
2014,TH_UNITS,выше 10 Мбит/сек,KZZHA,12.4
2014,TH_UNITS,выше 10 Мбит/сек,KZKAR,55.4
2014,TH_UNITS,выше 10 Мбит/сек,KZKUS,24.1
2014,TH_UNITS,выше 10 Мбит/сек,KZKZY,9.4
2014,TH_UNITS,выше 10 Мбит/сек,KZMAN,21.0
2014,TH_UNITS,выше 10 Мбит/сек,KZONT,17.6
2014,TH_UNITS,выше 10 Мбит/сек,KZPAV,29.3
2014,TH_UNITS,выше 10 Мбит/сек,KZSEV,9.6
2014,TH_UNITS,выше 10 Мбит/сек,KZVOS,37.6
2014,TH_UNITS,выше 10 Мбит/сек,KZNS,44.6
2014,TH_UNITS,выше 10 Мбит/сек,KZALA,509.5
2015,TH_UNITS,,,2301.0
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,,271.6
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKM,14.0
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKT,11.5
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALM,9.6
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZATY,7.0
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZAP,8.2
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZHA,10.6
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKAR,15.6
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKUS,20.0
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKZY,9.6
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZMAN,3.3
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZONT,13.7
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZPAV,11.6
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZSEV,17.9
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZVOS,9.2
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZNS,53.2
2015,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALA,56.8
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,,767.1
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKM,54.6
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKT,40.4
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALM,79.6
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZATY,42.5
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZAP,18.9
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZHA,26.9
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKAR,71.5
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKUS,45.7
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKZY,19.3
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZMAN,27.5
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZONT,42.8
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZPAV,44.2
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZSEV,37.9
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZVOS,58.9
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZNS,44.3
2015,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALA,112.2
2015,TH_UNITS,выше 10 Мбит/сек,KZAKM,22.3
2015,TH_UNITS,выше 10 Мбит/сек,KZAKT,20.5
2015,TH_UNITS,выше 10 Мбит/сек,KZALM,26.6
2015,TH_UNITS,выше 10 Мбит/сек,KZATY,18.8
2015,TH_UNITS,выше 10 Мбит/сек,KZZAP,14.8
2015,TH_UNITS,выше 10 Мбит/сек,KZZHA,12.0
2015,TH_UNITS,выше 10 Мбит/сек,KZKAR,64.7
2015,TH_UNITS,выше 10 Мбит/сек,KZKUS,37.2
2015,TH_UNITS,выше 10 Мбит/сек,KZKZY,11.2
2015,TH_UNITS,выше 10 Мбит/сек,KZMAN,23.9
2015,TH_UNITS,выше 10 Мбит/сек,KZONT,21.1
2015,TH_UNITS,выше 10 Мбит/сек,KZPAV,39.4
2015,TH_UNITS,выше 10 Мбит/сек,KZSEV,18.8
2015,TH_UNITS,выше 10 Мбит/сек,KZVOS,52.2
2015,TH_UNITS,выше 10 Мбит/сек,KZNS,46.2
2015,TH_UNITS,выше 10 Мбит/сек,KZALA,580.9
2016,TH_UNITS,,,2349.9
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,,197.4
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKM,4.0
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKT,11.1
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALM,8.9
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZATY,6.2
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZAP,4.3
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZHA,3.6
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKAR,8.2
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKUS,19.8
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKZY,7.8
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZMAN,12.0
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZONT,7.1
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZPAV,5.0
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZSEV,17.8
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZVOS,28.5
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZNS,23.7
2016,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALA,29.5
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,,837.7
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKM,68.5
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKT,42.0
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALM,104.6
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZATY,44.7
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZAP,22.6
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZHA,37.1
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKAR,74.6
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKUS,46.0
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKZY,24.8
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZMAN,21.5
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZONT,60.0
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZPAV,44.1
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZSEV,39.7
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZVOS,53.0
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZNS,58.5
2016,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALA,95.9
2016,TH_UNITS,выше 10 Мбит/сек,KZAKM,24.7
2016,TH_UNITS,выше 10 Мбит/сек,KZAKT,22.4
2016,TH_UNITS,выше 10 Мбит/сек,KZALM,26.2
2016,TH_UNITS,выше 10 Мбит/сек,KZATY,21.1
2016,TH_UNITS,выше 10 Мбит/сек,KZZAP,15.0
2016,TH_UNITS,выше 10 Мбит/сек,KZZHA,13.7
2016,TH_UNITS,выше 10 Мбит/сек,KZKAR,73.0
2016,TH_UNITS,выше 10 Мбит/сек,KZKUS,39.0
2016,TH_UNITS,выше 10 Мбит/сек,KZKZY,11.4
2016,TH_UNITS,выше 10 Мбит/сек,KZMAN,27.2
2016,TH_UNITS,выше 10 Мбит/сек,KZONT,21.6
2016,TH_UNITS,выше 10 Мбит/сек,KZPAV,50.1
2016,TH_UNITS,выше 10 Мбит/сек,KZSEV,23.5
2016,TH_UNITS,выше 10 Мбит/сек,KZVOS,51.6
2016,TH_UNITS,выше 10 Мбит/сек,KZNS,77.6
2016,TH_UNITS,выше 10 Мбит/сек,KZALA,728.9
2017,TH_UNITS,,,2576.0
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,,71.3
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKM,3.8
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKT,3.2
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALM,1.2
2017,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZATY,4.2
