Year,UNIT_MEASURE,REF_AREA,URBANISATION,AGE,Value
2010,PT,KZSEV,,Y45T54,19.6
2010,PT,KZSEV,,Y55T64,25.3
2010,PT,KZVOS,,Y16T24,53.9
2010,PT,KZVOS,,M25T28,47.9
2010,PT,KZVOS,,M29T34,23.1
2010,PT,KZVOS,,Y35T44,35.7
2010,PT,KZVOS,,Y45T54,39.1
2010,PT,KZVOS,,Y55T64,25.4
2010,PT,KZNS,,Y16T24,44.0
2010,PT,KZNS,,M25T28,54.0
2010,PT,KZNS,,M29T34,28.9
2010,PT,KZNS,,Y35T44,48.5
2010,PT,KZNS,,Y45T54,34.6
2010,PT,KZNS,,Y55T64,35.8
2010,PT,KZNS,,Y_GE65,25.6
2010,PT,KZALA,,Y16T24,23.7
2010,PT,KZALA,,M25T28,42.7
2010,PT,KZALA,,M29T34,43.5
2010,PT,KZALA,,Y35T44,46.4
2010,PT,KZALA,,Y45T54,31.7
2010,PT,KZALA,,Y55T64,26.8
2011,PT,,,,38.5
2011,PT,KZAKM,,,43.1
2011,PT,KZAKT,,,41.6
2011,PT,KZALM,,,24.4
2011,PT,KZATY,,,26.7
2011,PT,KZZAP,,,24.7
2011,PT,KZZHA,,,30.1
2011,PT,KZKAR,,,40.0
2011,PT,KZKUS,,,43.9
2011,PT,KZKZY,,,40.8
2011,PT,KZMAN,,,32.9
2011,PT,KZONT,,,28.1
2011,PT,KZPAV,,,41.9
2011,PT,KZSEV,,,35.0
2011,PT,KZVOS,,,37.6
2011,PT,KZNS,,,41.4
2011,PT,KZALA,,,40.3
2011,PT,,U,,39.5
2011,PT,KZAKM,U,,46.1
2011,PT,KZAKT,U,,40.4
2011,PT,KZALM,U,,26.2
2011,PT,KZATY,U,,27.8
2011,PT,KZZAP,U,,27.5
2011,PT,KZZHA,U,,35.3
2011,PT,KZKAR,U,,40.0
2011,PT,KZKUS,U,,42.6
2011,PT,KZKZY,U,,40.2
2011,PT,KZMAN,U,,34.7
2011,PT,KZONT,U,,31.5
2011,PT,KZPAV,U,,39.0
2011,PT,KZSEV,U,,35.1
2011,PT,KZVOS,U,,40.1
2011,PT,KZNS,U,,41.4
2011,PT,KZALA,U,,40.3
2011,PT,,R,,34.3
2011,PT,KZAKM,R,,30.0
2011,PT,KZAKT,R,,48.8
2011,PT,KZALM,R,,23.3
2011,PT,KZATY,R,,23.6
2011,PT,KZZAP,R,,11.0
2011,PT,KZZHA,R,,25.0
2011,PT,KZKAR,R,,39.8
2011,PT,KZKUS,R,,46.7
2011,PT,KZKZY,R,,41.9
2011,PT,KZMAN,R,,20.5
2011,PT,KZONT,R,,21.4
2011,PT,KZPAV,R,,51.8
2011,PT,KZSEV,R,,34.7
2011,PT,KZVOS,R,,32.9
2011,PT,,,Y16T24,49.8
2011,PT,,,M25T28,44.1
2011,PT,,,M29T34,36.3
2011,PT,,,Y35T44,39.3
2011,PT,,,Y45T54,38.2
2011,PT,,,Y55T64,29.4
2011,PT,,,Y_GE65,13.6
2011,PT,KZAKM,,Y16T24,53.2
2011,PT,KZAKM,,M25T28,40.9
2011,PT,KZAKM,,M29T34,51.6
2011,PT,KZAKM,,Y35T44,44.1
2011,PT,KZAKM,,Y45T54,42.5
2011,PT,KZAKM,,Y55T64,26.9
2011,PT,KZAKT,,Y16T24,76.5
2011,PT,KZAKT,,M25T28,61.7
2011,PT,KZAKT,,M29T34,22.6
2011,PT,KZAKT,,Y35T44,37.3
2011,PT,KZAKT,,Y45T54,38.1
2011,PT,KZAKT,,Y55T64,24.7
2011,PT,KZALM,,Y16T24,48.0
2011,PT,KZALM,,M25T28,20.7
2011,PT,KZALM,,M29T34,0.0
2011,PT,KZALM,,Y35T44,27.5
2011,PT,KZALM,,Y45T54,32.9
2011,PT,KZALM,,Y55T64,24.1
2011,PT,KZALM,,Y_GE65,47.1
2011,PT,KZATY,,Y16T24,0.0
2011,PT,KZATY,,M25T28,71.3
2011,PT,KZATY,,M29T34,25.2
2011,PT,KZATY,,Y35T44,24.4
2011,PT,KZATY,,Y45T54,34.7
2011,PT,KZATY,,Y55T64,6.1
2011,PT,KZZAP,,Y16T24,31.0
2011,PT,KZZAP,,M25T28,0.0
2011,PT,KZZAP,,M29T34,32.4
2011,PT,KZZAP,,Y35T44,22.7
2011,PT,KZZAP,,Y45T54,17.2
2011,PT,KZZAP,,Y55T64,38.1
2011,PT,KZZHA,,Y16T24,19.0
2011,PT,KZZHA,,M25T28,61.4
2011,PT,KZZHA,,M29T34,0.0
2011,PT,KZZHA,,Y35T44,39.6
2011,PT,KZZHA,,Y45T54,44.8
2011,PT,KZZHA,,Y55T64,15.9
2011,PT,KZKAR,,Y16T24,53.0
2011,PT,KZKAR,,M25T28,40.0
2011,PT,KZKAR,,M29T34,36.5
2011,PT,KZKAR,,Y35T44,37.5
2011,PT,KZKAR,,Y45T54,45.3
2011,PT,KZKAR,,Y55T64,33.1
2011,PT,KZKAR,,Y_GE65,0.0
2011,PT,KZKUS,,Y16T24,57.7
2011,PT,KZKUS,,M25T28,41.2
2011,PT,KZKUS,,M29T34,53.6
2011,PT,KZKUS,,Y35T44,42.2
2011,PT,KZKUS,,Y45T54,45.9
2011,PT,KZKUS,,Y55T64,28.9
