Year,UNIT_MEASURE,URBANISATION,REF_AREA,Value
2018,PT,U,,68.7
2018,PT,R,,8.6
2019,PT,U,,70.5
2019,PT,R,,8.8
2019,PT,U,KZAKM,72.1
2019,PT,R,KZAKM,14.7
2019,PT,U,KZAKT,95.3
2019,PT,R,KZAKT,6.6
2019,PT,U,KZALM,95.1
2019,PT,R,KZALM,6.3
2019,PT,U,KZATY,37.2
2019,PT,R,KZATY,9.5
2019,PT,U,KZZAP,91.2
2019,PT,R,KZZAP,0.0
2019,PT,U,KZZHA,0.0
2019,PT,R,KZZHA,0.0
2019,PT,U,KZKAR,66.0
2019,PT,R,KZKAR,20.9
2019,PT,U,KZKUS,100.0
2019,PT,R,KZKUS,17.1
2019,PT,U,KZKZY,48.9
2019,PT,R,KZKZY,0.4
2019,PT,U,KZMAN,93.1
2019,PT,R,KZMAN,3.8
2019,PT,U,KZPAV,87.0
2019,PT,R,KZPAV,5.3
2019,PT,U,KZSEV,84.0
2019,PT,R,KZSEV,0.61
2019,PT,U,KZYUZ,25.7
2019,PT,R,KZYUZ,9.4
2019,PT,U,KZVOS,72.0
2019,PT,R,KZVOS,30.1
2019,PT,,KZNS,91.0
2019,PT,,KZALA,80.0
2019,PT,,KZSHY,60.7
