Year,UNIT_MEASURE,REF_AREA,SEX,Value
2012,PT,,,6.081519545019793
2012,PT,KZAKM,,7.327164715131723
2012,PT,KZAKT,,3.204661325564458
2012,PT,KZALM,,10.942698150662675
2012,PT,KZATY,,3.114539730861037
2012,PT,KZZAP,,9.255254311694362
2012,PT,KZZHA,,3.90382474615336
2012,PT,KZKAR,,6.722690734706329
2012,PT,KZKUS,,12.113027202634973
2012,PT,KZKZY,,2.967726303864527
2012,PT,KZMAN,,1.1824523069165476
2012,PT,KZYUZ,,6.260891138637669
2012,PT,KZPAV,,10.56474309996316
2012,PT,KZSEV,,7.999298169053529
2012,PT,KZVOS,,6.746526195576749
2012,PT,,M,8.990241851199231
2012,PT,KZAKM,M,9.99069532716176
2012,PT,KZAKT,M,4.7232228603530935
2012,PT,KZALM,M,16.06645821742343
2012,PT,KZATY,M,4.83195769216304
2012,PT,KZZAP,M,12.48477826513602
2012,PT,KZZHA,M,6.077602367881192
2012,PT,KZKAR,M,9.560153764410035
2012,PT,KZKUS,M,12.134239711940747
2012,PT,KZKZY,M,5.820339261128195
2012,PT,KZMAN,M,2.397186287472239
2012,PT,KZYUZ,M,12.005116273090715
2012,PT,KZPAV,M,16.39191745221363
2012,PT,KZSEV,M,10.84001520827834
2012,PT,KZVOS,M,9.204001402856282
2012,PT,,F,3.5065578554111165
2012,PT,KZAKM,F,4.946407458376136
2012,PT,KZAKT,F,1.8657933972667384
2012,PT,KZALM,F,6.187236471032998
2012,PT,KZATY,F,1.539979523524076
2012,PT,KZZAP,F,6.377347835797938
2012,PT,KZZHA,F,1.925666819695505
2012,PT,KZKAR,F,4.316336769132537
2012,PT,KZKUS,F,12.094940365224588
2012,PT,KZKZY,F,0.2020558103942668
2012,PT,KZMAN,F,0.0327168925495456
2012,PT,KZYUZ,F,0.8531819147217448
2012,PT,KZPAV,F,5.652412751552785
2012,PT,KZSEV,F,5.535838041035764
2012,PT,KZVOS,F,4.6222234756215785
2013,PT,,,6.281780310601058
2013,PT,KZAKM,,7.35667371702104
2013,PT,KZAKT,,7.174042791456476
2013,PT,KZALM,,11.23439805509888
2013,PT,KZATY,,3.091297703281105
2013,PT,KZZAP,,10.194493514303463
2013,PT,KZZHA,,3.407917185742276
2013,PT,KZKAR,,6.714364065858646
2013,PT,KZKUS,,12.084264556173178
2013,PT,KZKZY,,2.9723991507431
2013,PT,KZMAN,,1.2445986617306275
2013,PT,KZYUZ,,6.171673725371392
2013,PT,KZPAV,,10.489654766743897
2013,PT,KZSEV,,8.123911632180679
2013,PT,KZVOS,,6.767289759461239
2013,PT,,M,9.213221605638546
2013,PT,KZAKM,M,10.067245980372508
2013,PT,KZAKT,M,8.571053716684784
2013,PT,KZALM,M,16.679219382314262
2013,PT,KZATY,M,4.679834441695239
2013,PT,KZZAP,M,14.699450987752805
2013,PT,KZZHA,M,5.36108349938081
2013,PT,KZKAR,M,9.552260579387104
2013,PT,KZKUS,M,12.078797304302748
2013,PT,KZKZY,M,5.835896184908653
2013,PT,KZMAN,M,2.532154677615317
2013,PT,KZYUZ,M,11.792235691268989
2013,PT,KZPAV,M,15.880739049519388
2013,PT,KZSEV,M,11.02865635073831
2013,PT,KZVOS,M,9.094844219935846
2013,PT,,F,3.685402162446737
2013,PT,KZAKM,F,4.932856776352089
2013,PT,KZAKT,F,5.940240052837447
2013,PT,KZALM,F,6.181900564672289
2013,PT,KZATY,F,1.6330128330503857
2013,PT,KZZAP,F,6.180782882442212
2013,PT,KZZHA,F,1.6275990645223826
2013,PT,KZKAR,F,4.306760447256608
2013,PT,KZKUS,F,12.088929175005257
2013,PT,KZKZY,F,0.198342782749242
2013,PT,KZMAN,F,0.0269422168689974
2013,PT,KZYUZ,F,0.8652873366676641
2013,PT,KZPAV,F,5.941565220769257
2013,PT,KZSEV,F,5.606523955147808
2013,PT,KZVOS,F,4.753230599617664
2014,PT,,,6.382814619834155
2014,PT,KZAKM,,7.242976810327588
2014,PT,KZAKT,,7.088322039406796
2014,PT,KZALM,,10.605469746011082
2014,PT,KZATY,,3.0942609514812283
2014,PT,KZZAP,,10.128006875684848
2014,PT,KZZHA,,4.466331833415578
2014,PT,KZKAR,,6.753879395010803
2014,PT,KZKUS,,12.086294468601777
2014,PT,KZKZY,,2.979083948040657
