Year,UNIT_MEASURE,URBANISATION,SEX,REF_AREA,Value
2011,PT,,,,50.6
2011,PT,U,,,60.4
2011,PT,R,,,38.6
2011,PT,,,KZAKM,53.03666306196898
2011,PT,,,KZAKT,58.92850532674924
2011,PT,,,KZALM,47.62188460809093
2011,PT,,,KZATY,62.4203731258884
2011,PT,,,KZZAP,59.9
2011,PT,,,KZZHA,33.94220855041687
2011,PT,,,KZKAR,56.25476449021433
2011,PT,,,KZKUS,48.97294426634738
2011,PT,,,KZKZY,36.28273873157986
2011,PT,,,KZMAN,50.73488145241394
2011,PT,,,KZONT,44.01688913992825
2011,PT,,,KZPAV,60.81099609136436
2011,PT,,,KZSEV,50.7838705654966
2011,PT,,,KZVOS,44.875610801261054
2011,PT,,,KZNS,54.313469785419386
2011,PT,,,KZALA,63.683357235146765
2012,PT,,,,61.90662401932264
2012,PT,U,,,73.9
2012,PT,R,,,47.2
2012,PT,,,KZAKM,70.25494713852555
2012,PT,,,KZAKT,72.90223910400472
2012,PT,,,KZALM,51.84361247256734
2012,PT,,,KZATY,73.68455305533746
2012,PT,,,KZZAP,66.55557347937993
2012,PT,,,KZZHA,52.826835391720095
2012,PT,,,KZKAR,64.93976060118634
2012,PT,,,KZKUS,75.62765366457826
2012,PT,,,KZKZY,62.55566923996232
2012,PT,,,KZMAN,55.18785900474189
2012,PT,,,KZONT,48.49678736871316
2012,PT,,,KZPAV,65.24373555488417
2012,PT,,,KZSEV,70.44639043135521
2012,PT,,,KZVOS,66.38400412010571
2012,PT,,,KZNS,64.3023319712125
2012,PT,,,KZALA,68.24678063201104
2013,PT,,,,63.3
2013,PT,U,,,73.2
2013,PT,R,,,51.2
2013,PT,,,KZAKM,71.3
2013,PT,,,KZAKT,73.3
2013,PT,,,KZALM,52.4
2013,PT,,,KZATY,74.0
2013,PT,,,KZZAP,67.2
2013,PT,,,KZZHA,53.9
2013,PT,,,KZKAR,65.1
2013,PT,,,KZKUS,76.5
2013,PT,,,KZKZY,67.0
2013,PT,,,KZMAN,70.0
2013,PT,,,KZONT,48.7
2013,PT,,,KZPAV,68.6
2013,PT,,,KZSEV,70.6
2013,PT,,,KZVOS,67.0
2013,PT,,,KZNS,64.5
2013,PT,,,KZALA,71.0
2014,PT,,,,63.9
2014,PT,U,,,72.6
2014,PT,R,,,52.7
2014,PT,,,KZAKM,72.0
2014,PT,,,KZAKT,73.0
